Date,SPOT,next_month,nnext_month,yield
2019-07-31,154.94,114.0,144.3,-0.06867174390086477
2019-08-31,134.95,144.3,142.55,0.05631715450166746
2019-09-30,114.0,142.55,149.55,0.311842105263158
2019-10-31,144.3,149.55,141.3,-0.020790020790020788
2019-11-30,142.55,141.3,137.12,-0.038091897579796606
2019-12-31,149.55,137.12,121.44,-0.18796389167502514
2020-01-31,141.3,121.44,151.57,0.07268223637650376
2020-02-29,137.12,151.57,180.93,0.31950116686114355
2020-03-31,121.44,180.93,258.19,1.126070487483531
2020-04-30,151.57,258.19,257.82,0.7009962393613512
2020-05-31,180.93,257.82,282.16,0.5594981484552037
2020-06-30,258.19,282.16,242.57,-0.060498082807235
2020-07-31,257.82,242.57,239.89,-0.06954464354976343
2020-08-31,282.16,239.89,291.37,0.03264105472072575
2020-09-30,242.57,291.37,314.66,0.29719256297151353
2020-10-31,239.89,314.66,315.0,0.31310183834257377
2020-11-30,291.37,315.0,307.38,0.054947317843292
2020-12-31,314.66,307.38,267.95,-0.14844594165130628
2021-01-31,315.0,267.95,252.12,-0.1996190476190476
2021-02-28,307.38,252.12,241.57,-0.2140998113084781
2021-03-31,267.95,241.57,275.59,0.028512782235491647
2021-04-30,252.12,275.59,228.67,-0.09301126447723312
2021-05-31,241.57,228.67,234.34,-0.02992921306453612
2021-06-30,275.59,234.34,0.0,-1.0
2021-07-31,228.67,0.0,0.0,-1.0
2021-08-31,234.34,0.0,0.0,-1.0
