,연월일,기온
0,2006-01-01,3.6
1,2006-01-02,4
2,2006-01-03,3.7
3,2006-01-04,4
4,2006-01-05,3.6
5,2006-01-06,2.1
6,2006-01-07,2.8
7,2006-01-08,4.2
8,2006-01-09,3.7
9,2006-01-10,4.3
10,2006-01-11,6.1
11,2006-01-12,6.1
12,2006-01-13,4
13,2006-01-14,6.6
14,2006-01-15,10.7
15,2006-01-16,9
16,2006-01-17,8
17,2006-01-18,5.6
18,2006-01-19,4.2
19,2006-01-20,4
20,2006-01-21,1.3
21,2006-01-22,3.1
22,2006-01-23,2.5
23,2006-01-24,4.4
24,2006-01-25,5.5
25,2006-01-26,6
26,2006-01-27,6.8
27,2006-01-28,5.5
28,2006-01-29,6
29,2006-01-30,8.4
30,2006-01-31,7.1
31,2006-02-01,5.7
32,2006-02-02,7.8
33,2006-02-03,6
34,2006-02-04,1.6
35,2006-02-05,1.9
36,2006-02-06,2
37,2006-02-07,3.6
38,2006-02-08,7.9
39,2006-02-09,4.6
40,2006-02-10,5.6
41,2006-02-11,7.5
42,2006-02-12,4.6
43,2006-02-13,5.7
44,2006-02-14,10.5
45,2006-02-15,14.1
46,2006-02-16,7.5
47,2006-02-17,7
48,2006-02-18,4.4
49,2006-02-19,7
50,2006-02-20,6.4
51,2006-02-21,8
52,2006-02-22,10.8
53,2006-02-23,11.2
54,2006-02-24,6.5
55,2006-02-25,7.8
56,2006-02-26,7.5
57,2006-02-27,8.6
58,2006-02-28,4.6
59,2006-03-01,5.7
60,2006-03-02,8.2
61,2006-03-03,6.4
62,2006-03-04,6.7
63,2006-03-05,8.3
64,2006-03-06,11.8
65,2006-03-07,9.9
66,2006-03-08,12.3
67,2006-03-09,8.9
68,2006-03-10,8
69,2006-03-11,11.6
70,2006-03-12,13.8
71,2006-03-13,5.5
72,2006-03-14,5.3
73,2006-03-15,8.4
74,2006-03-16,11.7
75,2006-03-17,13.2
76,2006-03-18,12.3
77,2006-03-19,9.7
78,2006-03-20,8.5
79,2006-03-21,11.7
80,2006-03-22,10.3
81,2006-03-23,10.4
82,2006-03-24,11.2
83,2006-03-25,10.7
84,2006-03-26,13.6
85,2006-03-27,12.3
86,2006-03-28,13
87,2006-03-29,9.8
88,2006-03-30,8
89,2006-03-31,8
90,2006-04-01,10.7
91,2006-04-02,13.3
92,2006-04-03,13.8
93,2006-04-04,15.2
94,2006-04-05,11.6
95,2006-04-06,11.6
96,2006-04-07,9.8
97,2006-04-08,12.5
98,2006-04-09,12.9
99,2006-04-10,10.4
100,2006-04-11,11.6
101,2006-04-12,15.1
102,2006-04-13,17.4
103,2006-04-14,13
104,2006-04-15,10.1
105,2006-04-16,9.6
106,2006-04-17,13.7
107,2006-04-18,16.4
108,2006-04-19,17.8
109,2006-04-20,16.3
110,2006-04-21,12.9
111,2006-04-22,13.7
112,2006-04-23,14.4
113,2006-04-24,16.4
114,2006-04-25,12.1
115,2006-04-26,14
116,2006-04-27,13
117,2006-04-28,15.9
118,2006-04-29,15.8
119,2006-04-30,18.3
120,2006-05-01,23.1
121,2006-05-02,15.5
122,2006-05-03,13.5
123,2006-05-04,16.7
124,2006-05-05,20
125,2006-05-06,20.4
126,2006-05-07,18.8
127,2006-05-08,16.1
128,2006-05-09,15
129,2006-05-10,18.8
130,2006-05-11,21.2
131,2006-05-12,17.2
132,2006-05-13,12.9
133,2006-05-14,15.7
134,2006-05-15,19.1
135,2006-05-16,18.7
136,2006-05-17,18.5
137,2006-05-18,17.3
138,2006-05-19,19
139,2006-05-20,23.7
140,2006-05-21,21.7
141,2006-05-22,20.4
142,2006-05-23,20.9
143,2006-05-24,20.2
144,2006-05-25,18.5
145,2006-05-26,19.4
146,2006-05-27,17.8
147,2006-05-28,20.4
148,2006-05-29,22.7
149,2006-05-30,21.9
150,2006-05-31,22.7
151,2006-06-01,23.1
152,2006-06-02,22.2
153,2006-06-03,19.2
154,2006-06-04,18.3
155,2006-06-05,19
156,2006-06-06,20.4
157,2006-06-07,20.2
158,2006-06-08,20.1
159,2006-06-09,19.3
160,2006-06-10,23.2
161,2006-06-11,19.4
162,2006-06-12,20.5
163,2006-06-13,21.5
164,2006-06-14,22.6
165,2006-06-15,22.2
166,2006-06-16,22.4
167,2006-06-17,24.5
168,2006-06-18,21.3
169,2006-06-19,23.7
170,2006-06-20,24.9
171,2006-06-21,23.3
172,2006-06-22,23.6
173,2006-06-23,23.4
174,2006-06-24,24.8
175,2006-06-25,23.5
176,2006-06-26,22.9
