,Movie_No
1,2382320
2,1160419
3,6264654
4,8110232
5,7097896
6,9421570
7,9376612
8,5164438
9,3811906
10,10954652
11,4244994
12,9357050
13,5563324
14,13056008
15,9620292
16,10698174
17,1924245
18,6334354
19,3228774
20,10665338
21,9243804
22,7737528
23,9347730
24,10101702
25,11196036
26,11125620
27,10944760
28,11235772
29,10155932
30,8847712
31,3480822
32,9054192
33,13069986
34,5433138
35,12536294
36,0870154
37,6654210
38,10886166
39,10095582
40,11003218
41,9639470
42,9844522
43,11771006
44,6723592
45,13649036
46,11083552
47,6246322
48,6372694
49,13234058
50,10521144
51,3272066
52,0293429
53,5748448
54,6874762
55,10152736
56,15112934
57,3758814
58,8404256
59,9115530
60,8635092
61,9777666
62,6079772
63,7888964
64,7638348
65,8368408
66,12361974
67,10293406
68,7144666
69,8332922
70,4590256
71,10366460
72,10272386
73,9812474
74,9848626
75,7126948
76,10295212
77,8936646
78,10687506
79,12801262
80,8368512
81,10696896
82,10309902
83,10327252
84,0993840
85,10404944
86,10605812
87,9731534
88,8009744
89,5034838
90,11271800
91,8385148
92,10731768
93,6878306
94,10288566
95,3554046
96,11832046
97,8886670
98,2076822
99,5109280
100,13924672
101,9770150
102,6823148
103,7069210
104,4479380
105,2452150
106,6566576
107,10083640
108,10016180
109,3626476
110,8737152
111,12731980
112,6338498
113,11698662
114,11655202
115,7713068
116,13372992
117,3215824
118,9664108
119,5344054
120,13446168
121,11804152
122,11657662
123,2222042
124,7504818
125,4761112
126,13438734
127,8503618
128,6217926
129,11260832
130,9038678
131,9214832
132,10362466
133,10919380
134,8244784
135,11525644
136,1321510
137,7178640
138,9100054
139,10342730
140,15198608
141,7395114
142,10228134
143,9742794
144,6932874
145,8150814
146,9110170
147,5420210
148,9484998
149,10682266
150,11384004
151,2948372
152,13087796
153,11032374
154,8689290
155,1051906
156,0805647
157,11742798
158,11121664
159,10691162
160,9340860
161,11681282
162,9701940
163,1893273
164,7737786
165,10230994
166,6475714
167,7846844
168,6902332
169,6111574
170,12789558
171,9893250
172,5867314
173,4682266
174,8114980
175,10037014
176,9784798
177,4566758
178,6506264
179,14940196
180,10975604
181,6402468
182,14700948
183,11389748
184,14757872
185,15204288
186,3794354
187,1086064
188,12749596
189,5144174
190,13544716
191,10339052
192,10633456
193,9620288
194,5585272
195,7979580
196,3797512
197,7556122
198,1502397
199,9130508
200,9686708
201,2850386
202,12636872
203,9205538
204,8633478
205,10962368
206,11881160
207,14640242
208,11656220
209,6048922
210,8545482
211,7392014
212,3661210
213,10370710
214,5078852
215,13438628
216,14450978
217,7153488
218,1838556
219,5439812
220,6673612
221,0499097
222,11456054
223,1361336
224,5774060
225,10059518
226,1634106
227,9701942
228,1070874
229,8580274
230,6341832
231,8241000
232,9179096
233,13392012
234,11833710
235,11762434
236,4532038
237,10644372
238,12877640
239,13507778
240,14033502
241,13269536
242,6992978
243,11024272
244,10986222
245,9419056
246,7830014
247,13453006
248,9288692
249,4876134
250,7939766
251,4651466
252,8482584
253,12889404
254,11826450
255,7983894
256,8784956
257,11173160
258,9789042
259,8893974
260,10366514
261,0983946
262,6910282
263,7050946
264,10023286
265,8231202
266,9203694
267,11169050
268,4685762
269,12528166
270,10329614
271,5598868
272,4733624
