,Actor_list
1,Daniel Craig
2,Ana de Armas
3,Rami Malek
4,Léa Seydoux
5,Jake Gyllenhaal
6,Riley Keough
7,Peter Sarsgaard
8,Christina Vidal
9,Alessandro Nivola
10,Leslie Odom Jr.
11,Jon Bernthal
12,Vera Farmiga
13,Tom Hardy
14,Woody Harrelson
15,Michelle Williams
16,Naomie Harris
17,Timothée Chalamet
18,Rebecca Ferguson
19,Zendaya
20,Oscar Isaac
21,Ryan Reynolds
22,Jodie Comer
23,Taika Waititi
24,Lil Rel Howery
25,Scarlett Johansson
26,Florence Pugh
27,David Harbour
28,Rachel Weisz
29,Matt Damon
30,Adam Driver
31,Harriet Walter
32,Simu Liu
33,Awkwafina
34,Tony Chiu-Wai Leung
35,Ben Kingsley
36,Jamie Lee Curtis
37,Judy Greer
38,Andi Matichak
39,James Jude Courtney
40,Sydney Park
41,Théodore Pellerin
42,Asjha Cooper
43,Dale Whibley
44,Annabelle Wallis
45,Maddie Hasson
46,George Young
47,Michole Briana White
48,Lily-Rose Depp
49,George MacKay
50,Paddy Considine
51,Terry Notary
52,Rebecca Hall
53,Sarah Goldberg
54,Vondie Curtis-Hall
55,Evan Jonigkeit
56,Conrad Vernon
57,Laura Brousseau
58,Kevin Pavlovic
59,Charlize Theron
60,Chloë Grace Moretz
61,Javon 'Wanna' Walton
62,Vincent Lindon
63,Agathe Rousselle
64,Garance Marillier
65,Laïs Salameh
66,Gael García Bernal
67,Vicky Krieps
68,Rufus Sewell
69,Alex Wolff
70,Phil Robertson
71,Joana Borja
72,Victoria Alcock
73,Cristina Rodlo
74,Margot Robbie
75,Idris Elba
76,John Cena
77,Joel Kinnaman
78,Emma Stone
79,Emma Thompson
80,Joel Fry
81,Paul Walter Hauser
82,Mark Wahlberg
83,Chiwetel Ejiofor
84,Sophie Cookson
85,Dylan O'Brien
86,Steven Kostanski
87,Chloe Okuno
88,Ryan Prows
89,Jennifer Reeder
90,Timo Tjahjanto
91,Anna Hopkins
92,Christian Potenza
93,Brian Paul
94,Tim Campbell
95,Dev Patel
96,Alicia Vikander
97,Joel Edgerton
98,Sarita Choudhury
99,Christoph Waltz
100,Owen Wilson
101,Tiffany Haddish
102,Tye Sheridan
103,Willem Dafoe
104,Noomi Rapace
105,Hilmir Snær Guðnason
106,Björn Hlynur Haraldsson
107,Ingvar Sigurdsson
108,Josephine Langford
109,Hero Fiennes Tiffin
110,Louise Lombard
111,Chance Perdomo
112,Carey Mulligan
113,Bo Burnham
114,Alison Brie
115,Clancy Brown
116,Gita Pullapilly
117,Kristen Bell
118,Kirby Howell-Baptiste
119,Bebe Rexha
120,Yahya Abdul-Mateen II
121,Teyonah Parris
122,Nathan Stewart-Jarrett
123,Colman Domingo
124,Melissa McCarthy
125,Chris O'Dowd
126,Kevin Kline
127,Timothy Olyphant
128,Mary Elizabeth Winstead
129,Miku Patricia Martineau
130,Tadanobu Asano
131,Clint Eastwood
132,Dwight Yoakam
133,Daniel V. Graulau
134,Amber Lynn Ashley
135,Megan Fox
136,Eoin Macken
137,Callan Mulvey
138,Jack Roth
139,Sydney Sweeney
140,Justice Smith
141,Ben Hardy
142,Natasha Liu Bordizzo
143,Ben Platt
144,Julianne Moore
145,Kaitlyn Dever
146,Amy Adams
147,Thomasin McKenzie
148,Anya Taylor-Joy
149,Diana Rigg
150,Amy Andrea
151,Emma Butt
152,Vinnie Jones
153,Terry Stone
154,Rachel Warren
155,Vin Diesel
156,Michelle Rodriguez
157,Jordana Brewster
158,Tyrese Gibson
159,Tomasz Mandes
160,Anna Maria Sieklucka
161,Michele Morrone
162,Bronislaw Wroclawski
163,Otar Saralidze
164,Amitabh Bachchan
165,Emraan Hashmi
166,Krystle D'Souza
167,Annu Kapoor
168,Tim Blake Nelson
169,Scott Haze
170,Gavin Lewis
171,Trace Adkins
172,Camila Cabello
173,Billy Porter
174,Nicholas Galitzine
175,Idina Menzel
176,José Luis Ucha
177,Mark Fattibene
178,Vanessa Hudgens
179,Kimiko Glenn
180,James Marsden
181,Sofia Carson
182,Dwayne Johnson
183,Emily Blunt
184,Edgar Ramírez
185,Jack Whitehall
186,Freida Pinto
187,Logan Marshall-Green
188,Robert John Burke
189,Megan Elisabeth Kelly
190,Justin Chon
191,Mark O'Brien
192,Linh Dan Pham
193,Henry Golding
194,Andrew Koji
195,Haruka Abe
196,Takehiro Hira
197,Kristen Stewart
198,Timothy Spall
199,Jack Nielen
200,Freddie Spry
201,Haley Bennett
202,Peter Dinklage
203,Ben Mendelsohn
204,Kelvin Harrison Jr.
205,Jason Statham
206,Holt McCallany
207,Josh Hartnett
208,Rocci Williams
209,John David Washington
210,Robert Pattinson
211,Elizabeth Debicki
212,Juhan Ulfsak
213,Jennifer Kluska
214,Brian Hull
215,Andy Samberg
216,Selena Gomez
217,Kathryn Hahn
218,Taylor Russell
219,Logan Miller
220,Deborah Ann Woll
221,Thomas Cocquerel
222,Constance Arnoult
223,Manon Azem
224,Nada Belka
225,Fadily Camara
226,Nicolas Cage
227,Adam Arkin
228,Cassandra Violet
229,Maggie Q
230,Samuel L. Jackson
231,Michael Keaton
232,David Rintoul
233,Millicent Simmonds
234,Cillian Murphy
235,John Krasinski
236,Stephen Lang
237,Madelyn Grace
