,MovieId,Name,Year,Genre,Meta_score,Director,Stars
0,7097896, 베놈 2: 렛 데어 비 카니지,2021,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",47,Andy Serkis,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris']"
1,8110232, The Many Saints of Newark,2021,"['Crime', 'Drama']",60,Alan Taylor,"['Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']"
2,0944760, Titane,2021,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",73,Julia Ducournau,"['Vincent Lindon', 'Agathe Rousselle', 'Garance Marillier', 'Laïs Salameh']"
3,2731980, 올드 헨리,2021,['Western'],69,Potsy Ponciroli,"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']"
4,2382320, 007 노 타임 투 다이,2021,"['Action', 'Adventure', 'Thriller']",68,Cary Joji Fukunaga,"['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']"
5,9098872, The Rescue,2021,"['Documentary', 'Drama']",0,Jimmy Chin,"['Jim Warny', 'Thanet Natisri', 'John Volanthen', 'Derek Anderson']"
6,1389748, Mass,2021,['Drama'],80,Fran Kranz,"['Jason Isaacs', 'Martha Plimpton', 'Ann Dowd', 'Reed Birney']"
7,0665338, 할로윈 킬즈,2021,"['Horror', 'Thriller']",42,David Gordon Green,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']"
8,6910282, 베르히만 아일랜드,2021,['Drama'],82,Mia Hansen-Løve,"['Vicky Krieps', 'Tim Roth', 'Grace Delrue', 'Mia Wasikowska']"
9,8709338, Hard Luck Love Song,2020,"['Drama', 'Music', 'Romance', 'Thriller']",58,Justin Corsbie,"['Michael Dorman', 'Sophia Bush', 'Dermot Mulroney', 'RZA']"
10,1160419, 듄,2021,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",77,Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']"
11,7504818, 고장난 론,2021,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",67,Sarah Smith,"['Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman']"
12,8956324, Warning,2021,"['Sci-Fi', 'Thriller']",0,Agata Alexander,"['Thomas Jane', 'Tomasz Kot', 'Toni Garrn', 'Rupert Everett']"
13,7740510, Antlers,2021,"['Drama', 'Horror', 'Mystery']",66,Scott Cooper,"['Keri Russell', 'Jesse Plemons', 'Jeremy T. Thomas', 'Graham Greene']"
14,3544716, 나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2021,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",0,Kenji Nagasaki,"['Robbie Daymond', 'Tetsu Inada', 'Yûki Kaji', 'Ryan Colt Levy']"
15,0925852, A Mouthful of Air,2021,['Drama'],0,Amy Koppelman,"['Amanda Seyfried', 'Britt Robertson', 'Jennifer Carpenter', 'Finn Wittrock']"
16,5331462, Planet Dune,2021,"['Action', 'Adventure', 'Sci-Fi']",0,Glenn Campbell,"['Sean Young', 'Emily Killian', 'Tammy Klein', 'Clark Moore']"
17,1125620, 아담스 패밀리 2,2021,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",37,Greg Tiernan,"['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', ""Javon 'Wanna' Walton""]"
18,1271800, Mayday,2021,"['Drama', 'Fantasy', 'Mystery']",45,Karen Cinorre,"['Grace Van Patten', 'Mia Goth', 'Soko', 'Havana Rose Liu']"
19,4857602, The Jesus Music,2021,['Documentary'],42,Andrew Erwin,"['Kirk Franklin', 'Amy Grant', 'Kevin Max', 'Toby McKeehan']"
20,9812474, Lamb,2021,"['Drama', 'Horror', 'Mystery']",69,Valdimar Jóhannsson,"['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Sigurdsson']"
21,1284502, South of Heaven,2021,"['Action', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",42,Aharon Keshales,"['Jason Sudeikis', 'Evangeline Lilly', 'Mike Colter', 'Shea Whigham']"
22,2861508, Survive the Game,2021,"['Action', 'Thriller']",0,James Cullen Bressack,"['Chad Michael Murray', 'Bruce Willis', 'Swen Temmel', 'Michael Sirow']"
23,4244994, 라스트 듀얼: 최후의 결투,2021,"['Action', 'Drama', 'History']",67,Ridley Scott,"['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Harriet Walter']"
24,7099280, Needle in a Timestack,2021,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",42,John Ridley,"['Leslie Odom Jr.', 'Freida Pinto', 'Cynthia Erivo', 'Orlando Bloom']"
25,8241000, Extinct,2021,"['Animation', 'Adventure', 'Comedy', 'Family']",0,David Silverman,"['Adam Devine', 'Rachel Bloom', 'Ken Jeong', 'Zazie Beetz']"
26,8847712, 더 프렌치 디스패치,2021,"['Comedy', 'Drama', 'Romance']",75,Wes Anderson,"['Benicio Del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux']"
27,1151336, Broadcast Signal Intrusion,2021,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,Jacob Gentry,"['Harry Shum Jr.', 'Kelley Mack', 'Chris Sullivan', 'Anthony E. Cabral']"
28,5413054, Feng bao,2021,"['Action', 'Adventure', 'Drama']",0,Li Jun,"['Yilong Zhu', 'Zhi-zhong Huang', 'Shu Chen', 'Junyan Jiao']"
