imdb_movie_Id,Rating,Director,Actor_list
114709,8.3,John Lasseter,Tom Hanks
113497,7,Joe Johnston,Robin Williams
113228,6.7,Howard Deutch,Walter Matthau
114885,6,Forest Whitaker,Whitney Houston
113041,6.1,Charles Shyer,Steve Martin
113277,8.2,Michael Mann,Al Pacino
114319,6.3,Sydney Pollack,Harrison Ford
112302,5.5,Peter Hewitt,Jonathan Taylor Thomas
114576,5.8,Peter Hyams,Jean-Claude Van Damme
113189,7.2,Martin Campbell,Pierce Brosnan
112346,6.8,Rob Reiner,Michael Douglas
112896,5.9,Mel Brooks,Leslie Nielsen
112453,7.1,Simon Wells,Kevin Bacon
113987,7.1,Oliver Stone,Anthony Hopkins
112760,5.7,Renny Harlin,Geena Davis
112641,8.2,Martin Scorsese,Robert De Niro
114388,7.7,Ang Lee,Emma Thompson
113101,6.8,Allison Anders(segment The Missing Ingredient)Alexandre Rockwell(segment The Wrong Man)Robert Rodriguez(segment The Misbehavers),Tim Roth
112281,6.4,Steve Oedekerk,Jim Carrey
113845,5.7,Joseph Ruben,Wesley Snipes
113161,6.9,Barry Sonnenfeld,Gene Hackman
112722,6.6,Jon Amiel,Sigourney Weaver
112401,6.3,Richard Donner,Sylvester Stallone
114168,6.6,Victor Salva,Mary Steenburgen
113627,7.5,Mike Figgis,Nicolas Cage
114057,6.9,Oliver Parker,Laurence Fishburne
114011,6.8,Lesli Linka Glatter,Christina Ricci
114117,7.7,Roger Michell,Amanda Root
112682,7.5,Marc CaroJean-Pierre Jeunet,Ron Perlman
115012,7.1,Yimou Zhang,Gong Li
112792,6.5,John N. Smith,Michelle Pfeiffer
114746,8,Terry Gilliam,Bruce Willis
112431,6.8,Chris Noonan,James Cromwell
112818,7.5,Tim Robbins,Susan Sarandon
113442,5.9,Andy Tennant,Kirstie Alley
112697,6.9,Amy Heckerling,Alicia Silverstone
112749,6.8,Darrell Roodt,Richard Harris
114279,7.4,Richard Loncraine,Ian McKellen
112819,6.9,Albert HughesAllen Hughes,Larenz Tate
114272,6.6,Michael Hoffman,Robert Downey Jr.
113855,5.8,Paul W.S. Anderson,Christopher Lambert
114681,6.8,Gus Van Sant,Nicole Kidman
113347,6.3,Jocelyn Moorhouse,Winona Ryder
114369,8.6,David Fincher,Morgan Freeman
114148,6.7,Mike GabrielEric Goldberg,Mel Gibson
114916,6.5,Patricia Rozema,Pascale Bussières
114814,8.5,Bryan Singer,Kevin Spacey
113819,7,Woody Allen,Woody Allen
110299,7.5,Gianni Amelio,Enrico Lo Verso
112499,5.6,Holly Goldberg Sloan,Steve Guttenberg
113158,6.6,Ulu Grosbard,Jennifer Jason Leigh
113321,6.6,Jodie Foster,Holly Hunter
110877,7.7,Michael RadfordMassimo Troisi(uncredited),Massimo Troisi
113419,6,Frank Oz,Hal Scardino
116260,6.2,John Schlesinger,Sally Field
113862,7.3,Stephen Herek,Richard Dreyfuss
116126,6.6,Paris Barclay,Shawn Wayans
118002,5.3,Bill Bennett,Sandra Bullock
115683,4.5,Jason Bloom,Pauly Shore
116839,2.5,Farhad Mann,Patrick Bergin
113149,6.4,Josiane Balasko,Victoria Abril
113118,7.3,F. Gary Gray,Ice Cube
116367,7.2,Robert Rodriguez,Harvey Keitel
113010,4.3,Andrew Sipes,William Baldwin
113537,6.8,Noah Baumbach,Josh Hamilton
113828,7.5,Claude Lelouch,Jean-Paul Belmondo
115644,6.1,Michael Goldenberg,Christian Slater
115676,4.8,Steve Miner,Rick Moranis
114367,6.4,Christian Duguay,Peter Weller
113973,7.2,Susanne Ofteringer,Nico
112744,6.3,Sean Penn,Jack Nicholson
116731,5.7,Brian Gibson,Demi Moore
112445,7.7,Jafar Panahi,Aida Mohammadkhani
114660,6.8,Gary Fleder,Andy Garcia
112379,7.5,Marleen Gorris,Willeke van Ammelrooy
114039,7.2,Tim Reid,Al Freeman Jr.
112365,6.8,Philip Haas,Mark Rylance
118158,6.6,Ridley Scott,Jeff Bridges
116151,5.4,Ken Kwapis,Jason Alexander
115697,6.3,Penelope Spheeris,Chris Farley
113972,6.3,John Badham,Johnny Depp
117002,5.8,Stephen Frears,Julia Roberts
114825,4.6,Wes Craven,Eddie Murphy
115639,7.1,Ted Demme,Matt Dillon
115759,6.1,John Woo,John Travolta
113403,7.2,Kenneth Branagh,Michael Maloney
113247,8.1,Mathieu Kassovitz,Vincent Cassel
113283,6.5,Nick Broomfield,Nick Broomfield
115907,6.2,Harold Becker,Al Pacino
115734,7,Wes Anderson,Luke Wilson
117102,3.8,Nick Castle,Ellen DeGeneres
118040,6,John Dahl,Ray Liotta
116483,7,Dennis Dugan,Adam Sandler
112579,7.6,Clint Eastwood,Clint Eastwood
110251,7.2,Doris Dörrie,Maria Schrader
117110,7,Brian HensonDavid Lane(uncredited),Tim Curry
112646,6.9,Robert Leacock,Christy Turlington
112573,8.3,Mel Gibson,Mel Gibson
75314,8.2,Martin Scorsese,Robert De Niro
113326,6.8,Stanley Tong,Jackie Chan
115645,6.1,Barbet Schroeder,Meryl Streep
112373,8.1,Jon Blair,Kenneth Branagh
115033,7.1,Benjamin Ross,Hugh O'Conor
116606,4.9,Eric Schaeffer,Sarah Jessica Parker
114536,4.8,Andrew Davis,Andy Garcia
106473,7.5,John N. Smith,Henry Czerny
103859,5.6,Reginald Hudlin,Eddie Murphy
109424,8.1,Kar-Wai Wong,Brigitte Lin
116324,6.7,David O. Russell,Ben Stiller
110647,3.2,Peter MacDonald,Jason James Richter
110217,7.1,Michel Negroponte,Michel Negroponte
114131,5.8,Bryan Gordon,Josh Charles
113451,5.3,William Friedkin,David Caruso
116130,6.2,David S. Ward,Kelsey Grammer
113756,6,Dirk Shafer,Vivian Paxton
118055,6.2,Jon Avnet,Robert Redford
115685,7.1,Mike Nichols,Robin Williams
112585,6.6,Edward Burns,Jack Mulcahy
112442,6.9,Michael Bay,Will Smith
112342,5.8,Christopher Cain,Stephen Lang
112461,7.3,Scott Kalvert,Leonardo DiCaprio
112427,5.9,Mike Newell,Hugh Grant
109093,6.9,Hal Hartley,Isabelle Huppert
112384,7.6,Ron Howard,Tom Hanks
114287,6.9,Michael Caton-Jones,Liam Neeson
112288,6.5,Abel Ferrara,Lili Taylor
112462,5.4,Joel Schumacher,Val Kilmer
61395,7.7,Luis Buñuel,Catherine Deneuve
112495,6.6,John Boorman,Patricia Arquette
112541,6.7,Paul AusterWayne WangHarvey Wang(video segments),Harvey Keitel
109370,5.9,Michael Moore,John Candy
112642,6.1,Brad Silberling,Bill Pullman
112688,6.9,Spike Lee,Harvey Keitel
112715,5.2,Frank Marshall,Laura Linney
112740,7.3,Tony Scott,Gene Hackman
109508,8,Terry Zwigoff,Robert Crumb
112851,7.2,Robert Rodriguez,Antonio Banderas
112857,6.7,Carl Franklin,Denzel Washington
112864,7.6,John McTiernan,Bruce Willis
112887,6.1,Gregg Araki,James Duval
113071,6,Jerry Zucker,Sean Connery
113114,5.1,Dwight H. Little,Jason James Richter
113243,6.3,Iain Softley,Jonny Lee Miller
113464,6.8,Christopher Ashley,Steven Weber
113481,5.7,Robert Longo,Keanu Reeves
113492,5.6,Danny Cannon,Sylvester Stallone
113500,4.3,John Fortenberry,Pauly Shore
113540,7.1,Larry Clark,Leo Fitzpatrick
113677,7.5,Tom DiCillo,Steve Buscemi
113690,6.1,Clive Barker,Scott Bakula
107447,6.7,Denys Arcand,Thomas Gibson
113729,5.4,Antonia Bird,Chris O'Donnell
113749,7.1,Kevin Smith,Shannen Doherty
113820,5.2,Bryan Spicer,Karan Ashley
110604,6.7,Anthony Waller,Marina Zudina
110620,6.1,Michael Almereyda,Elina Löwensohn
113957,5.9,Irwin Winkler,Sandra Bullock
113986,5.5,Chris Columbus,Hugh Grant
114095,6.5,Daisy von Scherler Mayer,Parker Posey
114194,6.5,Gregory Widen,Christopher Walken
114241,5.1,Norman René,Mia Farrow
114323,7.2,Todd Haynes,Julianne Moore
114345,5.3,Roland Joffé,Demi Moore
114436,4.9,Paul Verhoeven,Elizabeth Berkley
114478,7.4,Wayne Wang,Harvey Keitel
114496,5.8,Lasse Hallström,Julia Roberts
114508,5.8,Roger Donaldson,Natasha Henstridge
114558,7.2,Kathryn Bigelow,Ralph Fiennes
58450,7.8,Jacques Demy,Catherine Deneuve
114663,6.1,Martha Coolidge,Patrick Swayze
114702,6.5,Agnieszka Holland,Leonardo DiCaprio
114682,6.6,Beeban Kidron,Wesley Snipes
114781,5.5,Geoff Murphy,Steven Seagal
114798,6.7,Diane Keaton,Andie MacDowell
114805,6.5,Douglas Keeve,Isaac Mizrahi
114887,6.7,Alfonso Arau,Keanu Reeves
114898,6.2,Kevin Reynolds,Kevin Costner
114928,5.3,Desmond Nakano,John Travolta
114938,5.9,Walter Hill,Jeff Bridges
109340,7.2,Mike Figgis,Albert Finney
112602,5.6,Greg Beeman,Daniel Stern
111579,7.9,Nikita Mikhalkov,Nikita Mikhalkov
110882,8,Milcho Manchevski,Katrin Cartlidge
112471,8.1,Richard Linklater,Ethan Hawke
112508,6.4,Tamra Davis,Adam Sandler
112438,4.3,Guy Ferland,Alicia Silverstone
112571,6.5,Herbert Ross,Whoopi Goldberg
112757,7.7,Peter Horton,Joseph Mazzello
112643,6,Stuart Gordon,Jeffrey Combs
112679,6.6,Pat O'Connor,Chris O'Donnell
109445,7.7,Kevin Smith,Brian O'Halloran
112883,6.7,Jeremy Leven,Johnny Depp
109635,6.1,Barry Levinson,Michael Douglas
109676,5.6,John Badham,Wesley Snipes
112854,4.6,Jack Baran,Dylan McDermott
109579,7.3,Roman Polanski,Sigourney Weaver
109642,7.4,Taylor Hackford,Kathy Bates
109686,7.3,Peter FarrellyBobby Farrelly(uncredited),Jim Carrey
111797,7.8,Ang Lee,Sihung Lung
109759,7.1,Atom Egoyan,Bruce Greenwood
109758,4.3,Garry Marshall,Dana Delany
109707,7.8,Tim Burton,Johnny Depp
113117,6.6,Lawrence Kasdan,Meg Ryan
113097,6.5,Billy Crystal,Billy Crystal
113028,6.4,Phillip Borsos,Jesse Bradford
113198,6.9,Kevin Lima,Bill Farmer
113303,5.3,Brett Leonard,Jeff Goldblum
113089,6.7,Carlo Carlei,Matthew Modine
109771,6.8,Gérard Corbiau,Stefano Dionisi
113199,3.8,Mark Lewis,Kristy Young
110057,8.3,Steve James,William Gates
110005,7.3,Peter Jackson,Melanie Lynskey
110066,6,Randall Miller,Sinbad
110116,7.4,Bernard Rose,Gary Oldman
110006,6.7,Steven Brill,Tom McGowan
113360,6,J.F. Lawton,Christopher Lambert
110099,6.2,Fred Schepisi,Tim Robbins
110148,7.5,Neil Jordan,Brad Pitt
113463,5.7,James Ivory,Nick Nolte
110189,4.7,James Melkonian,John G. Brennan
110216,4.7,Ivan Reitman,Arnold Schwarzenegger
113501,6.4,Arne Glimcher,Sean Connery
113538,4.7,Michael Gottlieb,Thomas Ian Nicholas
113552,5.9,Barbet Schroeder,David Caruso
76759,8.6,George Lucas,Mark Hamill
110367,7.3,Gillian Armstrong,Susan Sarandon
113670,7.7,Alfonso Cuarón,Liesel Matthews
110296,7.4,Ken Loach,Crissy Rock
103994,7.1,Alfonso Arau,Marco Leonardi
110322,7.5,Edward Zwick,Brad Pitt
110443,6.3,Nick Castle,Damon Wayans
107566,6.5,Allison Anders,Angel Aviles
110391,6,Glenn Gordon Caron,Warren Beatty
113691,6.5,Stephen Gyllenhaal,Jessica Lange
110428,7.2,Nicholas Hytner,Nigel Hawthorne
109836,6.4,Kenneth Branagh,Robert De Niro
113755,5.2,James Orr,Chevy Chase
110538,5.4,Nora Ephron,Steve Martin
110516,5.6,Richard Benjamin,Melanie Griffith
110527,6.6,Les Mayfield,Richard Attenborough
113808,5.4,David Frankel,Sarah Jessica Parker
113896,7.3,Gregory Nava,Jimmy Smits
113870,7.3,Marc Rocco,Christian Slater
110684,7.4,Robert Benton,Paul Newman
110638,6.5,Michael Apted,Jodie Foster
113967,6.7,Nick Gomez,Shar-Ron Corley
117169,4.2,Tôru Murakawa,Tôru Nakamura
106402,3.3,Vadim Jean,Craig Fairbrass
110671,5.5,Alan Jacobs,Laura San Giacomo
110632,7.3,Oliver Stone,Woody Harrelson
