,imdb_movie_Id,title,image
0,114709,Toy Story (1995),1
1,113497,Jumanji (1995),1
2,113228,Grumpier Old Men (1995),1
3,114885,Waiting to Exhale (1995),1
4,113041,Father of the Bride Part II (1995),1
5,113277,Heat (1995),1
6,114319,Sabrina (1995),1
7,112302,Tom and Huck (1995),1
8,114576,Sudden Death (1995),1
9,113189,GoldenEye (1995),1
10,112346,American President The (1995),1
11,112896,Dracula: Dead and Loving It (1995),1
12,112453,Balto (1995),1
13,113987,Nixon (1995),1
14,112760,Cutthroat Island (1995),1
15,112641,Casino (1995),1
16,114388,Sense and Sensibility (1995),1
17,113101,Four Rooms (1995),1
18,112281,Ace Ventura: When Nature Calls (1995),1
19,113845,Money Train (1995),1
20,113161,Get Shorty (1995),1
21,112722,Copycat (1995),1
22,112401,Assassins (1995),1
23,114168,Powder (1995),1
24,113627,Leaving Las Vegas (1995),1
25,114057,Othello (1995),1
26,114011,Now and Then (1995),1
27,114117,Persuasion (1995),1
28,112682,City of Lost Children The (Cité des enfants perdus La) (1995),1
29,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1
30,112792,Dangerous Minds (1995),1
31,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1
32,112431,Babe (1995),1
33,112818,Dead Man Walking (1995),1
34,113442,It Takes Two (1995),1
35,112697,Clueless (1995),1
36,112749,Cry the Beloved Country (1995),1
37,114279,Richard III (1995),1
38,112819,Dead Presidents (1995),1
39,114272,Restoration (1995),1
40,113855,Mortal Kombat (1995),1
41,114681,To Die For (1995),1
42,113347,How to Make an American Quilt (1995),1
43,114369,Seven (a.k.a. Se7en) (1995),1
44,114148,Pocahontas (1995),1
45,114916,When Night Is Falling (1995),1
46,114814,Usual Suspects The (1995),1
47,113819,Mighty Aphrodite (1995),1
48,110299,Lamerica (1994),1
49,112499,Big Green The (1995),1
50,113158,Georgia (1995),1
51,113321,Home for the Holidays (1995),1
52,110877,Postman The (Postino Il) (1994),1
53,113419,Indian in the Cupboard The (1995),1
54,116260,Eye for an Eye (1996),1
55,113862,Mr. Holland's Opus (1995),1
56,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1
57,118002,Two if by Sea (1996),1
58,115683,Bio-Dome (1996),1
59,116839,Lawnmower Man 2: Beyond Cyberspace (1996),1
60,113149,French Twist (Gazon maudit) (1995),1
61,113118,Friday (1995),1
62,116367,From Dusk Till Dawn (1996),1
63,113010,Fair Game (1995),1
64,113537,Kicking and Screaming (1995),1
65,113828,Misérables Les (1995),1
66,115644,Bed of Roses (1996),1
67,115676,Big Bully (1996),1
68,114367,Screamers (1995),1
69,113973,Nico Icon (1995),1
70,112744,Crossing Guard The (1995),1
71,116731,Juror The (1996),1
72,112445,White Balloon The (Badkonake sefid) (1995),1
73,114660,Things to Do in Denver When You're Dead (1995),1
74,112379,Antonia's Line (Antonia) (1995),1
75,114039,Once Upon a Time... When We Were Colored (1995),1
76,112365,Angels and Insects (1995),1
77,118158,White Squall (1996),1
78,116151,Dunston Checks In (1996),1
79,115697,Black Sheep (1996),1
80,113972,Nick of Time (1995),1
81,117002,Mary Reilly (1996),1
