,Director,Actor_list
0,John Lasseter,Tom Hanks
1,Joe Johnston,Robin Williams
2,Howard Deutch,Walter Matthau
3,Forest Whitaker,Whitney Houston
4,Charles Shyer,Steve Martin
5,Michael Mann,Al Pacino
6,Sydney Pollack,Harrison Ford
7,Peter Hewitt,Jonathan Taylor Thomas
8,Peter Hyams,Jean-Claude Van Damme
9,Martin Campbell,Pierce Brosnan
10,Rob Reiner,Michael Douglas
11,Mel Brooks,Leslie Nielsen
12,Simon Wells,Kevin Bacon
13,Oliver Stone,Anthony Hopkins
14,Renny Harlin,Geena Davis
15,Martin Scorsese,Robert De Niro
16,Ang Lee,Emma Thompson
17,Allison Anders(segment The Missing Ingredient)Alexandre Rockwell(segment The Wrong Man)Robert Rodriguez(segment The Misbehavers),Tim Roth
18,Steve Oedekerk,Jim Carrey
19,Joseph Ruben,Wesley Snipes
20,Barry Sonnenfeld,Gene Hackman
21,Jon Amiel,Sigourney Weaver
22,Richard Donner,Sylvester Stallone
23,Victor Salva,Mary Steenburgen
24,Mike Figgis,Nicolas Cage
25,Oliver Parker,Laurence Fishburne
26,Lesli Linka Glatter,Christina Ricci
27,Roger Michell,Amanda Root
28,Marc CaroJean-Pierre Jeunet,Ron Perlman
29,Yimou Zhang,Gong Li
30,John N. Smith,Michelle Pfeiffer
31,Terry Gilliam,Bruce Willis
32,Chris Noonan,James Cromwell
33,Tim Robbins,Susan Sarandon
34,Andy Tennant,Kirstie Alley
35,Amy Heckerling,Alicia Silverstone
36,Darrell Roodt,Richard Harris
37,Richard Loncraine,Ian McKellen
38,Albert HughesAllen Hughes,Larenz Tate
39,Michael Hoffman,Robert Downey Jr.
40,Paul W.S. Anderson,Christopher Lambert
41,Gus Van Sant,Nicole Kidman
42,Jocelyn Moorhouse,Winona Ryder
43,David Fincher,Morgan Freeman
44,Mike GabrielEric Goldberg,Mel Gibson
45,Patricia Rozema,Pascale Bussières
46,Bryan Singer,Kevin Spacey
47,Woody Allen,Woody Allen
48,Gianni Amelio,Enrico Lo Verso
49,Holly Goldberg Sloan,Steve Guttenberg
50,Ulu Grosbard,Jennifer Jason Leigh
51,Jodie Foster,Holly Hunter
52,Michael RadfordMassimo Troisi(uncredited),Massimo Troisi
53,Frank Oz,Hal Scardino
54,John Schlesinger,Sally Field
55,Stephen Herek,Richard Dreyfuss
56,Paris Barclay,Shawn Wayans
57,Bill Bennett,Sandra Bullock
58,Jason Bloom,Pauly Shore
59,Farhad Mann,Patrick Bergin
60,Josiane Balasko,Victoria Abril
61,F. Gary Gray,Ice Cube
62,Robert Rodriguez,Harvey Keitel
63,Andrew Sipes,William Baldwin
64,Noah Baumbach,Josh Hamilton
65,Claude Lelouch,Jean-Paul Belmondo
66,Michael Goldenberg,Christian Slater
67,Steve Miner,Rick Moranis
68,Christian Duguay,Peter Weller
69,Susanne Ofteringer,Nico
70,Sean Penn,Jack Nicholson
71,Brian Gibson,Demi Moore
72,Jafar Panahi,Aida Mohammadkhani
73,Gary Fleder,Andy Garcia
74,Marleen Gorris,Willeke van Ammelrooy
75,Tim Reid,Al Freeman Jr.
76,Philip Haas,Mark Rylance
77,Ridley Scott,Jeff Bridges
78,Ken Kwapis,Jason Alexander
79,Penelope Spheeris,Chris Farley
80,John Badham,Johnny Depp
81,Stephen Frears,Julia Roberts
82,Wes Craven,Eddie Murphy
83,Ted Demme,Matt Dillon
84,John Woo,John Travolta
85,Kenneth Branagh,Michael Maloney
86,Mathieu Kassovitz,Vincent Cassel
87,Nick Broomfield,Nick Broomfield
88,Harold Becker,Al Pacino
89,Wes Anderson,Luke Wilson
90,Nick Castle,Ellen DeGeneres
91,John Dahl,Ray Liotta
92,Dennis Dugan,Adam Sandler
93,Clint Eastwood,Clint Eastwood
94,Doris Dörrie,Maria Schrader
95,Brian HensonDavid Lane(uncredited),Tim Curry
96,Robert Leacock,Christy Turlington
97,Mel Gibson,Mel Gibson
98,Martin Scorsese,Robert De Niro
99,Stanley Tong,Jackie Chan
100,Barbet Schroeder,Meryl Streep
101,Jon Blair,Kenneth Branagh
102,Benjamin Ross,Hugh O'Conor
103,Eric Schaeffer,Sarah Jessica Parker
104,Andrew Davis,Andy Garcia
105,John N. Smith,Henry Czerny
106,Reginald Hudlin,Eddie Murphy
107,Kar-Wai Wong,Brigitte Lin
108,David O. Russell,Ben Stiller
109,Peter MacDonald,Jason James Richter
110,Michel Negroponte,Michel Negroponte
111,Bryan Gordon,Josh Charles
112,William Friedkin,David Caruso
113,David S. Ward,Kelsey Grammer
114,Dirk Shafer,Vivian Paxton
115,Jon Avnet,Robert Redford
116,Mike Nichols,Robin Williams
117,Edward Burns,Jack Mulcahy
118,Michael Bay,Will Smith
119,Christopher Cain,Stephen Lang
120,Scott Kalvert,Leonardo DiCaprio
121,Mike Newell,Hugh Grant
122,Hal Hartley,Isabelle Huppert
123,Ron Howard,Tom Hanks
124,Michael Caton-Jones,Liam Neeson
125,Abel Ferrara,Lili Taylor
126,Joel Schumacher,Val Kilmer
127,Luis Buñuel,Catherine Deneuve
128,John Boorman,Patricia Arquette
129,Paul AusterWayne WangHarvey Wang(video segments),Harvey Keitel
130,Michael Moore,John Candy
131,Brad Silberling,Bill Pullman
