imdb_movie_Id,title,genres
138946,Yards The (2000),Crime|Drama
195945,Next Friday (2000),Comedy
134983,Supernova (2000),Adventure|Sci-Fi|Thriller
186975,Down to You (2000),Comedy|Romance
134084,Scream 3 (2000),Comedy|Horror|Mystery|Thriller
144117,Boondock Saints The (2000),Action|Crime|Drama|Thriller
171356,Gun Shy (2000),Comedy
163978,Beach The (2000),Adventure|Drama
184907,Snow Day (2000),Comedy
220099,Tigger Movie The (2000),Animation|Children
181984,Boiler Room (2000),Crime|Drama|Thriller
162983,Hanging Up (2000),Comedy|Drama
134847,Pitch Black (2000),Horror|Sci-Fi|Thriller
190138,Whole Nine Yards The (2000),Comedy|Crime
221023,Black Tar Heroin: The Dark End of the Street (2000),Documentary
184858,Reindeer Games (2000),Action|Thriller
185014,Wonder Boys (2000),Comedy|Drama
194368,Chain of Fools (2000),Comedy|Crime
186045,Drowning Mona (2000),Comedy
156841,Next Best Thing The (2000),Comedy|Drama
181151,What Planet Are You From? (2000),Comedy|Sci-Fi
218112,Closer You Get The (2000),Comedy|Romance
183523,Mission to Mars (2000),Sci-Fi
195685,Erin Brockovich (2000),Drama
195714,Final Destination (2000),Drama|Thriller
165929,Romeo Must Die (2000),Action|Crime|Romance|Thriller
195778,Here on Earth (2000),Drama|Romance
202402,Whatever It Takes (2000),Comedy|Romance
146882,High Fidelity (2000),Comedy|Drama|Romance
138749,Road to El Dorado The (2000),Animation|Children
192614,Skulls The (2000),Thriller
186151,Frequency (2000),Drama|Thriller
217756,Ready to Rumble (2000),Comedy
122459,Return to Me (2000),Drama|Romance
160797,Rules of Engagement (2000),Drama|Thriller
172632,Joe Gould's Secret (2000),Drama
183503,Me Myself I (2000),Comedy|Romance
191754,28 Days (2000),Drama
144084,American Psycho (2000),Crime|Horror|Mystery|Thriller
171433,Keeping the Faith (2000),Comedy|Drama|Romance
149367,Where the Money Is (2000),Comedy|Drama
236216,Filth and the Fury The (2000),Documentary
176783,Gossip (2000),Drama|Thriller
199725,Love and Basketball (2000),Drama|Romance
141926,U-571 (2000),Action|Thriller|War
132910,Crow: Salvation The (2000),Action|Horror
158622,Flintstones in Viva Rock Vegas The (2000),Children|Comedy
198021,Where the Heart Is (2000),Comedy|Drama
189584,Big Kahuna The (2000),Comedy|Drama
180837,Bossa Nova (2000),Comedy|Drama|Romance
220100,Time Code (2000),Comedy|Drama
172495,Gladiator (2000),Action|Adventure|Drama
153464,Up at the Villa (2000),Drama
185183,Battlefield Earth (2000),Action|Sci-Fi
210616,Center Stage (2000),Drama|Musical
156323,Screwed (2000),Comedy
174336,Whipped (2000),Comedy
171359,Hamlet (2000),Crime|Drama|Romance|Thriller
130623,Dinosaur (2000),Adventure|Animation|Children
217630,Loser (2000),Comedy|Romance
215129,Road Trip (2000),Comedy
196216,Small Time Crooks (2000),Comedy|Crime
120755,Mission: Impossible II (2000),Action|Adventure|Thriller
184894,Shanghai Noon (2000),Action|Adventure|Comedy|Western
208003,Big Momma's House (2000),Comedy
187078,Gone in 60 Seconds (2000),Action|Crime
182295,Love's Labour's Lost (2000),Comedy|Romance
204175,Boys and Girls (2000),Comedy|Romance
162650,Shaft (2000),Action|Crime|Thriller
120913,Titan A.E. (2000),Action|Adventure|Animation|Children|Sci-Fi
120630,Chicken Run (2000),Animation|Children|Comedy
183505,Me Myself & Irene (2000),Adventure|Comedy
187393,Patriot The (2000),Action|Drama|War
131704,Adventures of Rocky and Bullwinkle The (2000),Adventure|Animation|Children|Comedy|Fantasy
177971,Perfect Storm The (2000),Drama|Thriller
200669,Golden Bowl The (2000),Drama
219854,Kid The (2000),Comedy|Fantasy
175142,Scary Movie (2000),Comedy|Horror
212974,Groove (2000),Drama
120903,X-Men (2000),Action|Adventure|Sci-Fi
200530,Chuck & Buck (2000),Comedy|Drama
163676,In Crowd The (2000),Thriller
161081,What Lies Beneath (2000),Drama|Horror|Mystery
210234,Pokémon the Movie 2000 (2000),Animation|Children
144528,Nutty Professor II: The Klumps (2000),Comedy
174480,Autumn in New York (2000),Drama|Romance
200550,Coyote Ugly (2000),Comedy|Drama|Romance
164052,Hollow Man (2000),Horror|Sci-Fi|Thriller
186566,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi
206226,Psycho Beach Party (2000),Comedy|Horror|Thriller
195234,Saving Grace (2000),Comedy
251739,I'm the One That I Want (2000),Comedy
234853,Tao of Steve The (2000),Comedy
163983,Bless the Child (2000),Thriller
173716,Cecil B. DeMented (2000),Comedy
233687,Eyes of Tammy Faye The (2000),Documentary
191397,Replacements The (2000),Comedy
199314,About Adam (2000),Comedy
209958,Cell The (2000),Drama|Horror|Thriller
236388,Original Kings of Comedy The (2000),Comedy|Documentary
160009,Art of War The (2000),Action|Thriller
204946,Bring It On (2000),Comedy
198386,Crew The (2000),Comedy
209322,Skipped Parts (2000),Drama|Romance
144964,Highlander: Endgame (Highlander IV) (2000),Action|Adventure|Fantasy
171580,Nurse Betty (2000),Comedy|Crime|Drama|Romance|Thriller
204626,Watcher The (2000),Crime|Thriller
202677,Way of the Gun The (2000),Crime|Thriller
181875,Almost Famous (2000),Drama
211938,Bait (2000),Action|Comedy
191037,Circus (2000),Crime|Drama|Thriller
197384,Crime and Punishment in Suburbia (2000),Comedy|Drama
134630,Duets (2000),Comedy|Drama
164212,Under Suspicion (2000),Crime|Thriller
192731,Urban Legends: Final Cut (2000),Horror
206420,Woman on Top (2000),Comedy|Romance
168629,Dancer in the Dark (2000),Drama|Musical
218839,Best in Show (2000),Comedy
210567,Beautiful (2000),Comedy|Drama
222850,Broken Hearts Club The (2000),Drama
210075,Girlfight (2000),Drama
210945,Remember the Titans (2000),Drama
215545,Bamboozled (2000),Comedy
259974,Digimon: The Movie (2000),Adventure|Animation|Children
208988,Get Carter (2000),Action|Drama|Thriller
212338,Meet the Parents (2000),Comedy
180093,Requiem for a Dream (2000),Drama
170691,Tigerland (2000),Drama
202641,Two Family House (2000),Drama
208874,Contender The (2000),Drama|Thriller
205271,Dr. T and the Women (2000),Comedy|Romance
213790,Ladies Man The (2000),Comedy
249462,Billy Elliot (2000),Drama
230030,Bedazzled (2000),Comedy
223897,Pay It Forward (2000),Drama
229260,Book of Shadows: Blair Witch 2 (2000),Crime|Horror|Mystery|Thriller
192255,Little Vampire The (2000),Adventure|Children
160127,Charlie's Angels (2000),Action|Comedy
146984,Legend of Bagger Vance The (2000),Drama|Romance
185431,Little Nicky (2000),Comedy
203019,Men of Honor (2000),Drama
199753,Red Planet (2000),Action|Sci-Fi|Thriller
203230,You Can Count on Me (2000),Drama|Romance
216216,6th Day The (2000),Action|Sci-Fi|Thriller
186894,Bounce (2000),Drama|Romance
170016,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy
213203,Rugrats in Paris: The Movie (2000),Animation|Children|Comedy
211181,102 Dalmatians (2000),Children|Comedy
213847,Malèna (2000),Drama|Romance|War
180073,Quills (2000),Drama|Romance
217869,Unbreakable (2000),Drama|Sci-Fi
190332,Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),Action|Drama|Romance
190374,Dungeons & Dragons (2000),Action|Adventure|Comedy|Fantasy
228750,Proof of Life (2000),Drama
190865,Vertical Limit (2000),Action|Adventure
208092,Snatch (2000),Comedy|Crime|Thriller
241303,Chocolat (2000),Drama|Romance
242423,Dude Where's My Car? (2000),Comedy|Sci-Fi
120917,Emperor's New Groove The (2000),Adventure|Animation|Children|Comedy|Fantasy
183659,Pollock (2000),Drama
207201,What Women Want (2000),Comedy|Romance
181536,Finding Forrester (2000),Drama
219699,Gift The (2000),Thriller
247196,Before Night Falls (2000),Drama
162222,Cast Away (2000),Drama
218967,Family Man The (2000),Comedy|Drama|Romance
200720,House of Mirth The (2000),Romance
212346,Miss Congeniality (2000),Comedy|Crime
190590,O Brother Where Art Thou? (2000),Adventure|Comedy|Crime
120202,State and Main (2000),Comedy|Drama
219653,Dracula 2000 (2000),Horror
149624,All the Pretty Horses (2000),Drama|Romance|Western
218182,Everlasting Piece An (2000),Comedy
146309,Thirteen Days (2000),Drama|Thriller|War
181865,Traffic (2000),Crime|Drama|Thriller
218378,Claim The (2000),Romance|Western
189998,Shadow of the Vampire (2000),Drama|Horror
218817,Antitrust (2001),Crime|Drama|Thriller
238948,Double Take (2001),Action|Comedy
206275,Save the Last Dance (2001),Drama|Romance
194218,Panic (2000),Drama
237572,Pledge The (2001),Crime|Drama|Mystery|Thriller
186589,Sugar & Spice (2001),Comedy
209475,Wedding Planner The (2001),Comedy|Romance
216800,With a Friend Like Harry... (Harry un ami qui vous veut du bien) (2000),Drama|Thriller
192111,Head Over Heels (2001),Comedy|Romance
190524,Left Behind: The Movie (2000),Action|Adventure|Drama|Thriller
242998,Valentine (2001),Horror|Mystery
118694,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
120753,Million Dollar Hotel The (2001),Drama|Mystery|Romance
250478,Nico and Dani (Krámpack) (2000),Comedy|Drama|Romance
212985,Hannibal (2001),Horror|Thriller
239948,Saving Silverman (Evil Woman) (2001),Comedy|Romance
190861,Vatel (2000),Drama
231775,Down to Earth (2001),Comedy|Fantasy|Romance
265632,Recess: School's Out (2001),Animation|Children
230838,Sweet November (2001),Drama|Romance
177650,Company Man (2000),Comedy
249893,Price of Milk The (2000),Comedy|Drama|Fantasy|Romance
166276,Monkeybone (2001),Animation|Comedy|Fantasy
233142,3000 Miles to Graceland (2001),Action|Thriller
191636,Widow of St. Pierre The (Veuve de Saint-Pierre La) (2000),Drama|Romance
236493,Mexican The (2001),Action|Comedy
182000,Caveman's Valentine The (2001),Drama
251031,Series 7: The Contenders (2001),Action|Drama
179626,15 Minutes (2001),Thriller
192071,Get Over It (2001),Comedy|Romance
236447,Long Night's Journey Into Day (2000),Documentary
215750,Enemy at the Gates (2001),Drama|War
242445,Exit Wounds (2001),Action|Thriller
205873,Dish The (2001),Comedy
209144,Memento (2000),Mystery|Thriller
125022,Heartbreakers (2001),Comedy|Crime|Romance
239949,Say It Isn't So (2001),Comedy|Romance
244970,Someone Like You (2001),Comedy|Romance
