,Name,Year,Genre,Rating,Metascore,Votes,Movie_No,Director,Actor_list
1,007 노 타임 투 다이,2021,"Action, Adventure, Thriller           ",7.6,68,109934,2382320,Cary Joji Fukunaga,"['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']"
2,듄,2021,"Action, Adventure, Drama           ",8.3,75,89800,1160419,Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']"
3,할로윈 킬즈,2021,"Horror, Thriller           ",6,42,23400,10665338,David Gordon Green,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']"
4,라스트 듀얼: 최후의 결투,2021,"Action, Drama, History           ",7.7,67,7575,4244994,Ridley Scott,"['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Harriet Walter']"
5,베놈 2: 렛 데어 비 카니지,2021,"Action, Adventure, Sci-Fi           ",6.4,47,32062,7097896,Andy Serkis,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris']"
6,더 길티,2021,"Crime, Drama, Thriller           ",6.3,63,65525,9421570,Antoine Fuqua,"['Jake Gyllenhaal', 'Riley Keough', 'Peter Sarsgaard', 'Christina Vidal']"
7,프리 가이,2021,"Action, Adventure, Comedy           ",7.3,62,155794,6264654,Shawn Levy,"['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Lil Rel Howery']"
8,블랙 위도우,2021,"Action, Adventure, Sci-Fi           ",6.8,67,247629,3480822,Cate Shortland,"['Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']"
9,The Many Saints of Newark,2021,"Crime, Drama           ",6.4,60,27469,8110232,Alan Taylor,"['Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']"
10,The Black Phone,2021,Horror           ,9,77,150,7144666,Scott Derrickson,"['Ethan Hawke', 'Jeremy Davies', 'James Ransone', 'Madeleine McGraw']"
11,샹치와 텐 링즈의 전설,2021,"Action, Adventure, Fantasy           ",7.9,71,110133,9376612,Destin Daniel Cretton,"['Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung', 'Ben Kingsley']"
12,네 집에 누군가 있다,2021,"Horror, Mystery, Thriller           ",4.8,45,7938,8150814,Patrick Brice,"['Sydney Park', 'Théodore Pellerin', 'Asjha Cooper', 'Dale Whibley']"
13,올드 헨리,2021,Western           ,7.2,69,4507,12731980,Potsy Ponciroli,"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']"
14,올드,2021,"Drama, Horror, Mystery           ",5.8,55,53088,10954652,M. Night Shyamalan,"['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']"
15,더 프렌치 디스패치,2021,"Comedy, Drama, Romance           ",7.3,78,1421,8847712,Wes Anderson,"['Léa Seydoux', 'Timothée Chalamet', 'Christoph Waltz', 'Saoirse Ronan']"
16,말리그넌트,2021,"Crime, Horror, Mystery           ",6.3,51,53680,3811906,James Wan,"['Annabelle Wallis', 'Maddie Hasson', 'George Young', 'Michole Briana White']"
17,더 나이트 하우스,2020,"Horror, Mystery, Thriller           ",6.5,68,15242,9731534,David Bruckner,"['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit']"
18,Copshop,2021,"Action, Crime, Thriller           ",6.4,61,5868,5748448,Joe Carnahan,"['Frank Grillo', 'Gerard Butler', 'Toby Huss', ""Ryan O'Nan""]"
19,크루엘라,2021,"Adventure, Comedy, Crime           ",7.4,59,174510,3228774,Craig Gillespie,"['Emma Stone', 'Emma Thompson', 'Joel Fry', 'Paul Walter Hauser']"
20,라스트 나잇 인 소호,2021,"Drama, Horror, Mystery           ",7.4,67,1144,9639470,Edgar Wright,"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Diana Rigg', 'Amy Andrea']"
21,Lamb,2021,"Drama, Horror, Mystery           ",6.6,69,2341,9812474,Valdimar Jóhannsson,"['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Sigurdsson']"
22,The Suicide Squad,2021,"Action, Adventure, Comedy           ",7.3,72,224956,6334354,James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']"
23,아담스 패밀리 2,2021,"Animation, Adventure, Comedy           ",5.3,37,3923,11125620,Greg Tiernan,"['Conrad Vernon', 'Laura Brousseau', 'Kevin Pavlovic', 'Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', ""Javon 'Wanna' Walton""]"
24,Titane,2021,"Drama, Horror, Sci-Fi           ",7.2,73,6181,10944760,Julia Ducournau,"['Vincent Lindon', 'Agathe Rousselle', 'Garance Marillier', 'Laïs Salameh']"
25,그린 나이트,2021,"Adventure, Drama, Fantasy           ",6.6,85,53843,9243804,David Lowery,"['Dev Patel', 'Alicia Vikander', 'Joel Edgerton', 'Sarita Choudhury']"
26,더 포가튼 배틀,2020,"Drama, War           ",7.3,0,6944,10521092,Matthijs van Heijningen Jr.,"['Gijs Blom', 'Jamie Flatters', 'Susan Radder', 'Jan Bijvoet']"
27,Voyagers,2021,"Adventure, Sci-Fi, Thriller           ",5.4,44,13584,9664108,Neil Burger,"['Colin Farrell', 'Tye Sheridan', 'Lily-Rose Depp', 'Fionn Whitehead']"
28,프라미싱 영 우먼,2020,"Crime, Drama, Thriller           ",7.5,73,133148,9620292,Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']"
29,캔디맨,2021,"Horror, Thriller           ",6,72,36145,9347730,Nia DaCosta,"['Yahya Abdul-Mateen II', 'Teyonah Parris', 'Nathan Stewart-Jarrett', 'Colman Domingo']"
30,V/H/S/94,2021,"Horror, Mystery, Thriller           ",5.5,63,3285,14867006,Simon Barrett,"['Steven Kostanski', 'Chloe Okuno', 'Ryan Prows', 'Jennifer Reeder', 'Timo Tjahjanto', 'Anna Hopkins', 'Christian Potenza', 'Brian Paul', 'Tim Campbell']"
31,Dear Evan Hansen,2021,"Drama, Musical           ",6,40,5525,9357050,Stephen Chbosky,"['Ben Platt', 'Julianne Moore', 'Kaitlyn Dever', 'Amy Adams']"
32,애프터: 관계의 함정,2021,Drama           ,5.1,0,2753,13069986,Castille Landon,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard', 'Chance Perdomo']"
33,365 dni,2020,"Drama, Romance           ",3.3,0,67771,10886166,Barbara Bialowas,"['Tomasz Mandes', 'Anna Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski', 'Otar Saralidze']"
34,케이트,2021,"Action, Adventure, Crime           ",6.2,47,41537,7737528,Cedric Nicolas-Troyan,"['Mary Elizabeth Winstead', 'Woody Harrelson', 'Miku Patricia Martineau', 'Tadanobu Asano']"
35,Infinite,2021,"Action, Sci-Fi, Thriller           ",5.5,28,32549,6654210,Antoine Fuqua,"['Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson', ""Dylan O'Brien""]"
36,분노의 질주: 더 얼티메이트,2021,"Action, Adventure, Crime           ",5.2,58,97853,5433138,Justin Lin,"['Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson']"
37,크라이 마초,2021,"Drama, Thriller, Western           ",5.8,59,13239,1924245,Clint Eastwood,"['Clint Eastwood', 'Dwight Yoakam', 'Daniel V. Graulau', 'Amber Lynn Ashley']"
38,아무도 살아서 나갈 수 없다,2021,"Drama, Horror, Mystery           ",5.3,43,7681,13056008,Santiago Menghini,"['Phil Robertson', 'Joana Borja', 'Victoria Alcock', 'Cristina Rodlo']"
39,죽을 때까지,2021,"Horror, Thriller           ",5.8,66,12659,11804152,S.K. Dale,"['Megan Fox', 'Eoin Macken', 'Callan Mulvey', 'Jack Roth']"
40,스네이크 아이즈: 지.아이.조,2021,"Action, Adventure, Fantasy           ",5.4,43,25024,8404256,Robert Schwentke,"['Henry Golding', 'Andrew Koji', 'Haruka Abe', 'Takehiro Hira']"
41,더 보이어스,2021,"Drama, Mystery, Thriller           ",5.9,54,10340,11235772,Michael Mohan,"['Sydney Sweeney', 'Justice Smith', 'Ben Hardy', 'Natasha Liu Bordizzo']"
42,릴리와 찌르레기,2021,"Comedy, Drama           ",6.3,31,7085,5164438,Theodore Melfi,"['Melissa McCarthy', ""Chris O'Dowd"", 'Kevin Kline', 'Timothy Olyphant']"
43,더 카드 카운터,2021,"Crime, Drama, Thriller           ",6.2,78,9347,11196036,Paul Schrader,"['Oscar Isaac', 'Tiffany Haddish', 'Tye Sheridan', 'Willem Dafoe']"
44,정글 크루즈,2021,"Action, Adventure, Comedy           ",6.6,50,113731,0870154,Jaume Collet-Serra,"['Dwayne Johnson', 'Emily Blunt', 'Edgar Ramírez', 'Jack Whitehall']"
45,Tenet,2020,"Action, Sci-Fi, Thriller           ",7.4,69,428137,6723592,Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Juhan Ulfsak']"
46,더 프로티제,2021,"Action, Crime, Thriller           ",6.1,48,13846,6079772,Martin Campbell,"['Maggie Q', 'Samuel L. Jackson', 'Michael Keaton', 'David Rintoul']"
47,Distancia de rescate,2021,"Drama, Horror, Mystery           ",5.1,75,732,9471660,Claudia Llosa,"['María Valverde', 'Dolores Fonzi', 'Guillermo Pfening', 'Emilio Vodanovich']"
48,캐시트럭,2021,"Action, Crime, Thriller           ",7.2,57,117657,11083552,Guy Ritchie,"['Jason Statham', 'Holt McCallany', 'Josh Hartnett', 'Rocci Williams']"
49,Cinderella,2021,"Adventure, Comedy, Family           ",4.2,41,33983,10155932,Kay Cannon,"['Camila Cabello', 'Billy Porter', 'Nicholas Galitzine', 'Idina Menzel']"
50,건파우더 밀크셰이크,2021,"Action, Crime, Thriller           ",6,47,30862,8368408,Navot Papushado,"['Karen Gillan', 'Lena Headey', 'Carla Gugino', 'Michelle Yeoh']"
51,Spencer,2021,"Biography, Drama, Romance           ",6.8,85,1053,12536294,Pablo Larraín,"['Kristen Stewart', 'Timothy Spall', 'Jack Nielen', 'Freddie Spry']"
52,푸른 호수,2021,Drama           ,7.1,60,1876,11121664,Justin Chon,"['Justin Chon', 'Alicia Vikander', ""Mark O'Brien"", 'Linh Dan Pham']"
53,콰이어트 플레이스 2,2020,"Drama, Horror, Sci-Fi           ",7.3,71,166248,8332922,John Krasinski,"['Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy', 'John Krasinski']"
54,침입자,2021,"Drama, Thriller           ",5.2,39,8635,5563324,Adam Salky,"['Freida Pinto', 'Logan Marshall-Green', 'Robert John Burke', 'Megan Elisabeth Kelly']"
55,고장난 론,2021,"Animation, Adventure, Comedy           ",6.9,67,633,7504818,Sarah Smith,"['Jean-Philippe Vine', 'Octavio E. Rodriguez', 'Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman']"
56,퀸핀스,2021,"Comedy, Crime           ",6.2,45,3598,9054192,Aron Gaudet,"['Gita Pullapilly', 'Kristen Bell', 'Kirby Howell-Baptiste', 'Paul Walter Hauser', 'Bebe Rexha']"
57,Cyrano,2021,"Drama, Musical, Romance           ",6.9,75,93,12889404,Joe Wright,"['Haley Bennett', 'Peter Dinklage', 'Ben Mendelsohn', 'Kelvin Harrison Jr.']"
58,The Little Things,2021,"Crime, Drama, Mystery           ",6.3,54,77605,10016180,John Lee Hancock,"['Denzel Washington', 'Rami Malek', 'Jared Leto', 'Chris Bauer']"
59,이스케이프 룸 2: 노 웨이 아웃,2021,"Action, Adventure, Horror           ",5.8,48,24635,9844522,Adam Robitel,"['Taylor Russell', 'Logan Miller', 'Deborah Ann Woll', 'Thomas Cocquerel']"
60,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy           ",8.1,54,340738,12361974,Zack Snyder,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']"
61,The Tomorrow War,2021,"Action, Adventure, Drama           ",6.6,45,170384,9777666,Chris McKay,"['Chris Pratt', 'Yvonne Strahovski', 'J.K. Simmons', 'Betty Gilpin']"
62,Nobody,2021,"Action, Crime, Drama           ",7.4,64,164575,7888964,Ilya Naishuller,"['Bob Odenkirk', 'Aleksey Serebryakov', 'Connie Nielsen', 'Christopher Lloyd']"
63,트립,2021,"Action, Comedy, Horror           ",7,0,2549,13109952,Tommy Wirkola,"['Noomi Rapace', 'Aksel Hennie', 'Atle Antonsen', 'Christian Rubeck']"
64,맨 인 더 다크 2,2021,"Action, Drama, Horror           ",6.1,46,29376,6246322,Rodo Sayagues,"['Stephen Lang', 'Madelyn Grace', 'Brendan Sexton III', 'Adam Young']"
65,파워 오브 도그,2021,"Drama, Romance, Western           ",6.6,90,2895,10293406,Jane Campion,"['Benedict Cumberbatch', 'Kirsten Dunst', 'Jesse Plemons', 'Kodi Smit-McPhee']"
66,더 파더,2020,Drama           ,8.3,88,101434,10272386,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']"
67,Fear Street: 1994,2021,"Drama, Horror, Mystery           ",6.2,67,65730,6566576,Leigh Janiak,"['Kiana Madeira', 'Olivia Scott Welch', 'Benjamin Flores Jr.', 'Julia Rehwald']"
68,Pleasure,2021,Drama           ,6.9,74,708,8550054,Ninja Thyberg,"['Sofia Kappel', 'Revika Anne Reustle', 'Evelyn Claire', 'Chris Cock']"
69,아임 유어 맨,2021,"Comedy, Romance, Sci-Fi           ",7.2,78,1573,13087796,Maria Schrader,"['Maren Eggert', 'Dan Stevens', 'Sandra Hüller', 'Hans Löw']"
70,마이 리틀 포니: 새로운 희망,2021,"Animation, Adventure, Comedy           ",7,0,2259,10101702,Robert Cullen,"['José Luis Ucha', 'Mark Fattibene', 'Vanessa Hudgens', 'Kimiko Glenn', 'James Marsden', 'Sofia Carson']"
71,Hubie Halloween,2020,"Comedy, Mystery           ",5.2,53,44099,10682266,Steven Brill,"['Adam Sandler', 'Kevin James', 'Julie Bowen', 'Ray Liotta']"
72,Pig,2021,"Drama, Thriller           ",6.9,82,33850,11003218,Michael Sarnoski,"['Nicolas Cage', 'Alex Wolff', 'Adam Arkin', 'Cassandra Violet']"
73,Mortal Kombat,2021,"Action, Adventure, Fantasy           ",6.1,44,145249,0293429,Simon McQuoid,"['Lewis Tan', 'Jessica McNamee', 'Josh Lawson', 'Joe Taslim']"
74,Toma,2021,"Biography, Drama, Music           ",9.3,0,5661,8737152,Dragan Bjelogrlic,"['Zoran Lisinac', 'Milan Maric', 'Tamara Dragicevic', 'Petar Bencina', 'Andrija Kuzmanovic']"
75,Chehre,2021,"Drama, Mystery, Thriller           ",6.6,0,21433,10309902,Rumi Jaffery,"['Amitabh Bachchan', 'Emraan Hashmi', ""Krystle D'Souza"", 'Annu Kapoor']"
76,No Sudden Move,2021,"Crime, Drama, Mystery           ",6.5,76,23394,11525644,Steven Soderbergh,"['Don Cheadle', 'Benicio Del Toro', 'David Harbour', 'Jon Hamm']"
77,레미니센스,2021,"Mystery, Romance, Sci-Fi           ",5.9,46,36575,3272066,Lisa Joy,"['Hugh Jackman', 'Rebecca Ferguson', 'Thandiwe Newton', 'Cliff Curtis']"
78,"If I Can't Have Love, I Want Power",2021,"Drama, Fantasy, Horror           ",7,0,1072,15141288,Colin Tilley,"['Halsey', 'Sasha Lane', 'Vuk Celebic', 'Brian Caspe']"
79,Wonder Woman 1984,2020,"Action, Adventure, Fantasy           ",5.4,60,233859,7126948,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal']"
80,Spiral: From the Book of Saw,2021,"Crime, Horror, Mystery           ",5.3,40,37479,10342730,Darren Lynn Bousman,"['Chris Rock', 'Samuel L. Jackson', 'Max Minghella', 'Marisol Nichols']"
81,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,"Action, Adventure, Comedy           ",6.1,60,210910,7713068,Cathy Yan,"['Margot Robbie', 'Rosie Perez', 'Mary Elizabeth Winstead', 'Jurnee Smollett']"
82,Those Who Wish Me Dead,2021,"Action, Crime, Drama           ",6,59,46146,3215824,Taylor Sheridan,"['Angelina Jolie', 'Nicholas Hoult', 'Finn Little', 'Jon Bernthal']"
83,루카,2021,"Animation, Adventure, Comedy           ",7.5,71,112834,12801262,Enrico Casarosa,"['Jacob Tremblay', 'Jack Dylan Grazer', 'Emma Berman', 'Saverio Raimondo']"
84,Thalaivi,2021,"Biography, Drama           ",6.1,0,28214,10152736,A.L. Vijay,"['Kangana Ranaut', 'Arvind Swamy', 'Nassar', 'Samuthirakani']"
85,The Courier,2020,"Drama, History, Thriller           ",7.1,65,36722,8368512,Dominic Cooke,"['Benedict Cumberbatch', 'Merab Ninidze', 'Rachel Brosnahan', 'Vladimir Chuprikov']"
86,코다,2021,"Drama, Music           ",8.1,75,21591,10366460,Sian Heder,"['Emilia Jones', 'Marlee Matlin', 'Troy Kotsur', 'Daniel Durant']"
87,Hitman's Wife's Bodyguard,2021,"Action, Comedy, Crime           ",6.1,32,55790,8385148,Patrick Hughes,"['Ryan Reynolds', 'Samuel L. Jackson', 'Salma Hayek', 'Antonio Banderas']"
88,컨저링3: 악마가 시켰다,2021,"Horror, Mystery, Thriller           ",6.3,53,88081,7069210,Michael Chaves,"['Patrick Wilson', 'Vera Farmiga', ""Ruairi O'Connor"", 'Sarah Catherine Hook']"
89,Ida Red,2021,"Action, Thriller           ",5.5,0,342,11388416,John Swab,"['Frank Grillo', 'Josh Hartnett', 'Deborah Ann Woll', 'Beau Knapp']"
90,벨파스트,2021,Drama           ,7.7,78,328,12789558,Kenneth Branagh,"['Judi Dench', 'Caitriona Balfe', 'Jamie Dornan', 'Ciarán Hinds']"
91,Rise of the Footsoldier: Origins,2021,"Action, Crime, Drama           ",6.4,0,1914,12982370,Nick Nevern,"['Vinnie Jones', 'Emma Butt', 'Terry Stone', 'Rachel Warren']"
