Movie_number,Description
114709,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
113497,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
113228,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
114885,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men."
113041,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
113277,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
112302,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
114576,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
113189,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
112346,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
112896,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.
112453,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
113987,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
112760,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
112641,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
114388,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
113101,Four interlocking tales that take place in a fading hotel on New Year's Eve.
112281,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
113845,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
113161,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
112722,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
112401,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
114168,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
113627,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
114057,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
114011,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
114117,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Fr... Read all"
112682,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
115012,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
112792,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
114746,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
112431,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
112818,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
113442,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day."
112697,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
112749,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city."
114279,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
112819,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
114272,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
113855,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
114681,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
113347,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
114369,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
114148,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
114916,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
114814,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
113819,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
110299,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye."
112499,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success."
113158,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.
113321,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
110877,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
113419,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick."
116260,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
113862,A frustrated composer finds fulfillment as a high school music teacher.
116126,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992)."
118002,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.
115683,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
116839,"After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is reconstructed and he is hooked back online through v... Read all"
113149,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
113118,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
116367,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
113010,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
113537,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation."
113828,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
115644,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
115676,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
114367,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
113973,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring hers... Read all"
112744,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
116731,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.
112445,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
114660,Five different criminals face imminent death after botching a job quite badly.
112379,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
114039,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
112365,In the 1800s a naturalist marries into a family of British country gentry.
118158,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
116151,A young boy befriends a larcenous orangutan in a luxury hotel.
115697,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
113972,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
117002,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde."
114825,"A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many killings."
115639,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
115759,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
113403,"A group of theater actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys."
113247,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
113283,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have ... Read all"
