Director_Id,Director_name
0,Claudia Llosa
1,Tommy Wirkola
2,Halle Berry
3,Mark Greenstreet
4,Jim Cummings
5,Piotr Domalewski
6,Mike Burns
7,Luke Sparke
8,Justin Corsbie
9,Carlson Young
10,Kyle Rankin
11,Steven Grayhm
12,Erin Elders
13,Seung-wan Ryoo
14,Reinaldo Marcus Green
15,Michael Cristofer
16,Craig Brewer
17,Renny Harlin
18,Remi Weekes
19,Gillies MacKinnon
20,Roberto De Feo
21,Braden R. Duemmler
22,Peter Chelsom
23,Roseanne Liang
24,Charlie Kaufman
25,Prano Bailey-Bond
26,David Fincher
27,Tate Taylor
28,Lina Roessler
29,Taichi Ishidate
30,Marlin Darrah
31,Stephen Durham
32,Sang-ho Yeon
33,Benny Chan
34,John Patrick Shanley
35,Rebecca Hall
36,Adam Mason
37,Mark Williams
38,Henry Joost
39,Joe Penna
40,Kornél Mundruczó
41,Joanna Hogg
42,Nancy Meyers
43,Gerard Bush
44,Will Gluck
45,Il Cho
46,Zoe Lister-Jones
47,Nicholas Jarecki
48,Ben Wheatley
49,Fisher Stevens
50,Nicolas Pesce
51,Jeff Wadlow
52,Chung-Hyun Lee
53,Andrew Levitas
54,Chase Palmer
55,Dan Scanlon
56,Mark Raso
57,John Suits
58,Jon Keeyes
59,Walt Dohrn
60,Jim Cummings
61,Ty Roberts
62,John Whitesell
63,Ben Falcone
64,Francis Lee
65,Andy Goddard
66,Aaron Schoenke
67,Evan Morgan
68,Danis Goulet
69,Stephen Karam
70,Robert Rodriguez
71,Viggo Mortensen
72,Sung-hee Jo
73,Mamoru Hosoda
74,John Hyams
75,Eva Husson
76,George Clooney
77,Bryan Bertino
78,Paul Weitz
79,Francis Annan
80,Mona Fastvold
81,Emma Seligman
82,Jon Stewart
83,David Koepp
84,George Gallo
85,Maïmouna Doucouré
86,Josh Trank
87,Taylor Chien
88,Mark Goodman
89,Rajesh Bhatia
90,Coke Daniels
91,Corinna Faith
92,Jason Woliner
93,Chris Appelhans
94,Christopher Alender
95,Bruno Dumont
96,Chris Sanders
97,Jacob Chase
98,Ben Falcone
99,Saman Kesh
100,Tim Hill
101,Gavin O'Connor
102,William Brent Bell
103,Philippe Falardeau
104,Justin Kurzel
105,Brandon Trost
106,Stephen Daldry
107,Chad Hartigan
108,Clea DuVall
109,Sabrina Doyle
110,Michael Haussman
111,Deon Taylor
112,Oz Perkins
113,Natalie Erika James
114,Peter Berg
115,Shawn Linden
116,Roxy Shih
117,Paolo Sorrentino
118,Tony Cervone
119,Vince Marcello
120,Camille Griffin
121,Simon Barrett
122,Craig Gillespie
123,Mike Cahill
124,Sam Levinson
125,Richard Claus
126,Miguel Arteta
127,Ron Howard
128,Sekhar Kammula
129,Mark Polonia
130,Elaine Bogan
131,Robin Pront
132,John Lee
133,Danila Kozlovskiy
134,Rodrigo García
135,Abel Ferrara
136,Gaspar Noé
137,Brian Duffield
138,Collin Schiffli
139,Kimmy Gatewood
140,Mauricio Eça
141,Peeter Rebane
142,Elisa Amoruso
143,Austin Stark
144,Anna Elizabeth James
145,Nick Stagliano
146,Tiller Russell
147,Reed Morano
148,Dave Franco
149,Zu Quirke
150,Justin G. Dyck
151,Christian Long
152,Gabriele Mainetti
153,Miranda July
154,Daniel Graham
155,Greg Barker
156,Ivan Kavanagh
157,Amy Poehler
158,Azazel Jacobs
159,Rachel Carey
160,Edward Hall
161,David Ayer
162,Keishi Ohtomo
163,Benjamin Feuer
164,Tyler Spindel
165,Steven Kostanski
166,Lawrence Michael Levine
167,Billy Crystal
168,Mark Tonderai
169,Michael Feifer
170,Ramin Bahrani
171,Vadim Perelman
172,April Mullen
173,Jaco Bouwer
174,Christopher MacBride
175,Steve Franks
176,Tomm Moore
177,Mikael Håfström
178,Paul Ziller
179,Haruo Sotozaki
180,Bartosz M. Kowalski
181,Justine Bateman
182,Jonathan Milott
183,Dante Aubain
184,Ian Samuels
185,Céline Sciamma
186,Phil Tippett
187,Adrian Bol
188,Egor Abramenko
189,Jonathan Jakubowicz
190,Alexandre Bustillo
191,Robin Wright
192,Regina King
193,Philip Barantini
194,Megan Park
195,David Oyelowo
196,Antoneta Alamat Kusijanovic
197,Euros Lyn
198,Mitja Okorn
199,Arseny Syuhin
200,Eshom Nelms
201,Vaughn Stein
202,Dimitri Logothetis
203,Jacques Audiard
204,Lee Thongkham
205,Janjot Singh
206,Vinil Mathew
207,Brian Baugh
208,Rachel Talalay
209,Bradley Parker
210,M.J. Bassett
211,Martin Wilson
212,Doug Liman
213,Thor Freudenthal
214,Wyatt Rockefeller
215,Sean Durkin
216,Sean Penn
217,Glendyn Ivin
218,Eric Bress
219,Jagdeep Sidhu
220,Audrey Diwan
221,Justin Lee
222,Deon Taylor
223,Uberto Pasolini
224,S.J. Chiro
225,Eliza Hittman
226,Brandon Christensen
227,Andreas Fontana
228,Sofia Coppola
229,Justin Baldoni
230,Ildikó Enyedi
231,Daniel Monzón
232,Steven Soderbergh
233,James Sweet
234,Scott Jeffrey
235,Seth Larney
236,Kitao Sakurai
237,Jason Axinn
238,Christopher Ashley
239,Vicente Amorim
240,Mahiro Maeda
