imdb_movie_Id,Happy,Angry,Surprise,Sad,Fear
172495,0.15,0.04,0.34,0.18,0.26
241527,0.16,0.05,0.29,0.18,0.32
246460,0.12,0.06,0.2,0.19,0.43
266308,0.15,0.05,0.26,0.21,0.33
279113,0.15,0.06,0.24,0.25,0.3
373883,0.1,0.05,0.29,0.25,0.3
381061,0.11,0.05,0.24,0.17,0.43
397065,0.17,0.08,0.31,0.19,0.25
407887,0.24,0.04,0.26,0.18,0.29
443706,0.12,0.04,0.26,0.26,0.33
468569,0.13,0.03,0.38,0.19,0.25
816692,0.13,0.05,0.33,0.19,0.3
830515,0.09,0.05,0.18,0.22,0.44
862856,0.16,0.04,0.34,0.2,0.26
870154,0.25,0.03,0.25,0.2,0.27
993846,0.14,0.06,0.25,0.24,0.31
1074638,0.1,0.04,0.23,0.21,0.42
1131734,0.2,0.04,0.25,0.23,0.29
1160419,0.18,0.07,0.29,0.18,0.28
1270797,0.17,0.05,0.27,0.19,0.32
1375666,0.14,0.04,0.33,0.19,0.31
1392170,0.11,0.05,0.25,0.24,0.35
1392214,0.13,0.05,0.27,0.23,0.32
1396484,0.16,0.05,0.28,0.22,0.3
1502407,0.11,0.06,0.28,0.26,0.3
1620981,0.16,0.05,0.28,0.24,0.25
1666801,0.21,0.07,0.22,0.21,0.29
1856101,0.16,0.04,0.24,0.25,0.31
1924245,0.18,0.06,0.22,0.25,0.3
2066051,0.17,0.05,0.23,0.24,0.31
2379713,0.12,0.04,0.22,0.21,0.41
2382320,0.12,0.04,0.17,0.26,0.4
3228774,0.16,0.06,0.32,0.21,0.23
3480822,0.13,0.06,0.25,0.24,0.32
3605418,0.12,0.06,0.31,0.23,0.29
3811906,0.21,0.06,0.36,0.17,0.2
4154796,0.08,0.05,0.27,0.31,0.27
4244994,0.15,0.05,0.23,0.25,0.32
5164438,0.23,0.04,0.23,0.24,0.24
5433138,0.09,0.1,0.27,0.26,0.23
5563324,0.08,0.05,0.32,0.28,0.28
5606664,0.14,0.06,0.28,0.21,0.31
5700672,0.18,0.05,0.26,0.18,0.33
6079772,0.16,0.04,0.21,0.24,0.34
6246322,0.19,0.05,0.31,0.19,0.26
6264654,0.26,0.04,0.25,0.17,0.28
6334354,0.12,0.05,0.28,0.26,0.29
6654210,0.15,0.05,0.26,0.19,0.34
6723592,0.13,0.06,0.24,0.23,0.34
6742252,0.12,0.04,0.31,0.2,0.33
6751668,0.12,0.05,0.27,0.23,0.32
7097896,0.19,0.05,0.27,0.2,0.29
7126948,0.09,0.06,0.29,0.28,0.28
7131622,0.15,0.04,0.27,0.19,0.35
7286456,0.12,0.04,0.3,0.27,0.26
7737528,0.17,0.05,0.23,0.22,0.33
7784604,0.11,0.05,0.32,0.21,0.31
7888964,0.18,0.07,0.28,0.17,0.3
8110232,0.09,0.08,0.25,0.27,0.31
8150814,0.09,0.05,0.25,0.3,0.3
8332922,0.1,0.04,0.29,0.22,0.35
8404256,0.09,0.05,0.19,0.29,0.33
8579674,0.15,0.05,0.28,0.23,0.3
8772262,0.11,0.05,0.32,0.17,0.34
8847712,0.14,0.09,0.26,0.25,0.26
8946378,0.16,0.05,0.22,0.24,0.32
9054192,0.21,0.04,0.23,0.19,0.28
9243804,0.11,0.07,0.21,0.28,0.33
9347730,0.11,0.06,0.25,0.25,0.32
9357050,0.14,0.06,0.25,0.24,0.31
9376612,0.14,0.03,0.33,0.23,0.28
9421570,0.15,0.06,0.27,0.26,0.26
9620292,0.14,0.07,0.22,0.22,0.34
9639470,0.22,0.04,0.4,0.12,0.22
9731534,0.13,0.05,0.27,0.23,0.32
9777666,0.16,0.03,0.23,0.23,0.35
9812474,0.15,0.05,0.3,0.21,0.29
9844522,0.14,0.04,0.32,0.16,0.34
9848626,0.25,0.0,0.5,0.0,0.25
10101702,0.25,0.04,0.24,0.21,0.25
10155932,0.1,0.08,0.21,0.29,0.27
10272386,0.1,0.06,0.28,0.22,0.33
10293406,0.12,0.08,0.23,0.25,0.32
10309902,0.23,0.03,0.25,0.18,0.31
10665338,0.11,0.06,0.26,0.26,0.32
10698174,0.28,0.13,0.19,0.19,0.2
10886166,0.18,0.06,0.2,0.23,0.3
10944760,0.13,0.07,0.29,0.21,0.3
10954652,0.13,0.06,0.26,0.26,0.28
11003218,0.16,0.06,0.23,0.24,0.29
11083552,0.21,0.05,0.23,0.21,0.3
11121664,0.14,0.05,0.25,0.27,0.29
11125620,0.19,0.06,0.32,0.21,0.22
11196036,0.09,0.04,0.23,0.33,0.3
11235772,0.13,0.04,0.26,0.25,0.33
11314148,0.33,0.04,0.23,0.18,0.23
11804152,0.12,0.05,0.27,0.28,0.28
12361974,0.11,0.04,0.31,0.21,0.33
12536294,0.15,0.01,0.27,0.26,0.31
12731980,0.27,0.05,0.21,0.18,0.29
12861508,0.07,0.07,0.25,0.35,0.26
12982370,0.19,0.03,0.28,0.19,0.31
13056008,0.18,0.04,0.3,0.19,0.29
13069986,0.14,0.06,0.24,0.29,0.26
13372884,0.18,0.05,0.2,0.23,0.31
14700948,0.39,0.02,0.36,0.14,0.09
14867006,0.14,0.05,0.29,0.25,0.27
