imdb_movie_Id,title,genres,Director_name,Actor_name
114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,,
113497,Jumanji (1995),Adventure|Children|Fantasy,,
113228,Grumpier Old Men (1995),Comedy|Romance,,
114885,Waiting to Exhale (1995),Comedy|Drama|Romance,,
113041,Father of the Bride Part II (1995),Comedy,,
113277,Heat (1995),Action|Crime|Thriller,,
114319,Sabrina (1995),Comedy|Romance,,
112302,Tom and Huck (1995),Adventure|Children,,
114576,Sudden Death (1995),Action,,
113189,GoldenEye (1995),Action|Adventure|Thriller,,
112346,"American President, The (1995)",Comedy|Drama|Romance,,
112896,Dracula: Dead and Loving It (1995),Comedy|Horror,,
112453,Balto (1995),Adventure|Animation|Children,,
113987,Nixon (1995),Drama,,
112760,Cutthroat Island (1995),Action|Adventure|Romance,,
112641,Casino (1995),Crime|Drama,,
114388,Sense and Sensibility (1995),Drama|Romance,,
113101,Four Rooms (1995),Comedy,,
112281,Ace Ventura: When Nature Calls (1995),Comedy,,
113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,
113161,Get Shorty (1995),Comedy|Crime|Thriller,,
112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,,
112401,Assassins (1995),Action|Crime|Thriller,,
114168,Powder (1995),Drama|Sci-Fi,,
113627,Leaving Las Vegas (1995),Drama|Romance,,
114057,Othello (1995),Drama,,
114011,Now and Then (1995),Children|Drama,,
114117,Persuasion (1995),Drama|Romance,,
112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,,
115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,
112792,Dangerous Minds (1995),Drama,,
114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,,
114952,Wings of Courage (1995),Adventure|Romance|IMAX,,
112431,Babe (1995),Children|Drama,,
112637,Carrington (1995),Drama|Romance,,
112818,Dead Man Walking (1995),Crime|Drama,,
112286,Across the Sea of Time (1995),Documentary|IMAX,,
113442,It Takes Two (1995),Children|Comedy,,
112697,Clueless (1995),Comedy|Romance,,
112749,"Cry, the Beloved Country (1995)",Drama,,
114279,Richard III (1995),Drama|War,,
112819,Dead Presidents (1995),Action|Crime|Drama,,
114272,Restoration (1995),Drama,,
113855,Mortal Kombat (1995),Action|Adventure|Fantasy,,
114681,To Die For (1995),Comedy|Drama|Thriller,,
113347,How to Make an American Quilt (1995),Drama|Romance,,
114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,,
114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,,
114916,When Night Is Falling (1995),Drama|Romance,,
114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,,
109950,Guardian Angel (1994),Action|Drama|Thriller,,
113819,Mighty Aphrodite (1995),Comedy|Drama|Romance,,
110299,Lamerica (1994),Adventure|Drama,,
112499,"Big Green, The (1995)",Children|Comedy,,
113158,Georgia (1995),Drama,,
113541,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,,
113321,Home for the Holidays (1995),Drama,,
110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,,
112714,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,,
113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,,
116260,Eye for an Eye (1996),Drama|Thriller,,
113862,Mr. Holland's Opus (1995),Drama,,
116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,
118002,Two if by Sea (1996),Comedy|Romance,,
115683,Bio-Dome (1996),Comedy,,
116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,
114753,Two Bits (1995),Drama,,
113149,French Twist (Gazon maudit) (1995),Comedy|Romance,,
113118,Friday (1995),Comedy,,
116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,,
113010,Fair Game (1995),Action,,
113537,Kicking and Screaming (1995),Comedy|Drama,,
113828,"Misérables, Les (1995)",Drama|War,,
115644,Bed of Roses (1996),Drama|Romance,,
115676,Big Bully (1996),Comedy|Drama,,
114367,Screamers (1995),Action|Sci-Fi|Thriller,,
113973,Nico Icon (1995),Documentary,,
112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,
116731,"Juror, The (1996)",Drama|Thriller,,
112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,
114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,,
112379,Antonia's Line (Antonia) (1995),Comedy|Drama,,
114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,
113612,Last Summer in the Hamptons (1995),Comedy|Drama,,
112365,Angels and Insects (1995),Drama|Romance,,
118158,White Squall (1996),Action|Adventure|Drama,,
116151,Dunston Checks In (1996),Children|Comedy,,
115697,Black Sheep (1996),Comedy,,
113972,Nick of Time (1995),Action|Thriller,,
113490,The Journey of August King (1995),Drama,,
117002,Mary Reilly (1996),Drama|Horror|Thriller,,
114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance,,
115639,Beautiful Girls (1996),Comedy|Drama|Romance,,
115759,Broken Arrow (1996),Action|Adventure|Thriller,,
113403,In the Bleak Midwinter (1995),Comedy|Drama,,
113247,"Hate (Haine, La) (1995)",Crime|Drama,,
111173,Shopping (1994),Action|Thriller,,
113283,Heidi Fleiss: Hollywood Madam (1995),Documentary,,
115907,City Hall (1996),Drama|Thriller,,
115734,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,,
117102,Mr. Wrong (1996),Comedy,,
118040,Unforgettable (1996),Mystery|Sci-Fi|Thriller,,
116483,Happy Gilmore (1996),Comedy,,
112579,"Bridges of Madison County, The (1995)",Drama|Romance,,
110251,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,,
117110,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,,
112646,Catwalk (1996),Documentary,,
113276,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,,
112573,Braveheart (1995),Action|Drama|War,,
75314,Taxi Driver (1976),Crime|Drama|Thriller,,
113326,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,,
115645,Before and After (1996),Drama|Mystery,,
113774,Margaret's Museum (1995),Drama,,
112556,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,,
112373,Anne Frank Remembered (1995),Documentary,,
115033,"Young Poisoner's Handbook, The (1995)",Crime|Drama,,
116606,If Lucy Fell (1996),Comedy|Romance,,
114536,"Steal Big, Steal Little (1995)",Comedy,,
117427,Race the Sun (1996),Adventure|Comedy|Drama,,
106473,"Boys of St. Vincent, The (1992)",Drama,,
103859,Boomerang (1992),Comedy|Romance,,
109424,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,,
114808,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,,
116324,Flirting With Disaster (1996),Comedy,,
110647,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,,
111055,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,,
110217,Jupiter's Wife (1994),Documentary,,
114131,Pie in the Sky (1996),Comedy|Romance,,
112364,Angela (1995),Drama,,
113107,Frankie Starlight (1995),Drama|Romance,,
113451,Jade (1995),Thriller,,
114015,Nueba Yol (1995),Comedy|Drama,,
114500,Sonic Outlaws (1995),Documentary,,
116130,Down Periscope (1996),Comedy,,
113125,From the Journals of Jean Seberg (1995),Documentary,,
113756,Man of the Year (1995),Documentary,,
113952,"Neon Bible, The (1995)",Drama,,
114618,Target (1995),Action|Drama,,
118055,Up Close and Personal (1996),Drama|Romance,,
115685,"Birdcage, The (1996)",Comedy,,
94878,Shadows (Cienie) (1988),Drama,,
113200,Gospa (1995),Drama,,
112585,"Brothers McMullen, The (1995)",Comedy,,
112442,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,,
112342,"Amazing Panda Adventure, The (1995)",Adventure|Children,,
112461,"Basketball Diaries, The (1995)",Drama,,
112427,"Awfully Big Adventure, An (1995)",Drama,,
109093,Amateur (1994),Crime|Drama|Thriller,,
112384,Apollo 13 (1995),Adventure|Drama|IMAX,,
114287,Rob Roy (1995),Action|Drama|Romance|War,,
112288,"Addiction, The (1995)",Drama|Horror,,
112462,Batman Forever (1995),Action|Adventure|Comedy|Crime,,
61395,Beauty of the Day (Belle de jour) (1967),Drama,,
112495,Beyond Rangoon (1995),Adventure|Drama|War,,
112541,Blue in the Face (1995),Comedy|Drama,,
109370,Canadian Bacon (1995),Comedy|War,,
112642,Casper (1995),Adventure|Children,,
112688,Clockers (1995),Crime|Drama|Mystery,,
112715,Congo (1995),Action|Adventure|Mystery|Sci-Fi,,
112740,Crimson Tide (1995),Drama|Thriller|War,,
109508,Crumb (1994),Documentary,,
112851,Desperado (1995),Action|Romance|Western,,
112857,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,,
112864,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,,
112887,"Doom Generation, The (1995)",Comedy|Crime|Drama,,
113044,Feast of July (1995),Drama,,
113071,First Knight (1995),Action|Drama|Romance,,
113114,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,,
113243,Hackers (1995),Action|Adventure|Crime|Thriller,,
113464,Jeffrey (1995),Comedy|Drama,,
113481,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,,
113492,Judge Dredd (1995),Action|Crime|Sci-Fi,,
113500,Jury Duty (1995),Comedy,,
113540,Kids (1995),Drama,,
113677,Living in Oblivion (1995),Comedy,,
113690,Lord of Illusions (1995),Horror,,
