tags_No,imdb_movie_Id,user_Id,tag
0,838283,2,funny
1,993846,2,Martin Scorsese
2,993846,2,drugs
3,1291584,2,Tom Hardy
4,1291584,2,MMA
5,1291584,2,Boxing story
6,993846,2,Leonardo DiCaprio
7,838283,2,will ferrell
8,838283,2,Highly quotable
9,407887,7,way too long
10,488120,18,twist ending
11,106519,18,mafia
12,71562,18,Al Pacino
13,71562,18,Mafia
14,253474,18,holocaust
15,253474,18,true story
16,425210,18,twist ending
17,488120,18,Anthony Hopkins
18,488120,18,courtroom drama
19,106519,18,gangster
20,3597400,18,Sustainability
21,3597400,18,dumpster diving
22,1764726,18,music
23,1764726,18,britpop
24,106519,18,Al Pacino
25,1764726,18,indie record label
26,2788710,21,bloody
27,1126590,21,painter
28,119738,21,wedding
29,119738,21,romantic comedy
30,816692,49,time-travel
31,816692,49,black hole
32,816692,49,sci-fi
33,1229340,62,will ferrell
34,1229340,62,stupid but funny
35,1229340,62,Steve Carell
36,1486834,62,zoe kazan
37,1486834,62,daniel radcliffe
38,770828,62,superhero
39,770828,62,Amy Adams
40,1853728,62,western
41,2557490,62,Liam Neeson
42,1853728,62,Quentin Tarantino
43,1853728,62,Leonardo DiCaprio
44,1853728,62,Humour
45,1853728,62,Great performances
46,1853728,62,good soundtrack
47,1853728,62,funny
48,1853728,62,Christoph Waltz
49,1853728,62,action
50,1397280,62,unnecessary sequel
51,1397280,62,Turkey
52,1397280,62,predictable
53,1397280,62,Liam Neeson
54,1397280,62,Istanbul
55,1853728,62,Samuel L. Jackson
56,1853728,62,Soundtrack
57,1840309,62,anti-intellectual
58,1840309,62,bad writing
59,2557490,62,Seth MacFarlane
60,2557490,62,witty
61,1790864,62,action
62,1790864,62,dystopia
63,1840309,62,unintelligent
64,1790864,62,plot holes
65,1790864,62,post-apocalyptic
66,1840309,62,scifi
67,1790864,62,survival
68,1790864,62,thriller
69,1790864,62,unexplained
70,1790864,62,weak plot
71,2911666,62,dark hero
72,1632708,62,sex
73,2911666,62,gun-fu
74,2911666,62,Keanu Reeves
75,2911666,62,Revenge
76,1840309,62,predictable
77,1840309,62,plot holes
78,1840309,62,new society
79,1840309,62,dystopia
80,2557490,62,Charlize Theron
81,1632708,62,romance
82,1156398,62,Woody Harrelson
83,1632708,62,Mila Kunis
84,1099212,62,Teen movie
85,1099212,62,overrated
86,1099212,62,chick flick
87,1099212,62,boring
88,1099212,62,audience intelligence underestimated
89,910936,62,Stoner Movie
90,910936,62,Seth Rogen
91,910936,62,James Franco
92,910936,62,comedy
93,425061,62,Steve Carell
94,844286,62,Adrien Brody
95,425061,62,Anne Hathaway
96,448157,62,Charlize Theron
97,448157,62,bad script
98,499448,62,Tilda Swinton
99,499448,62,narnia
