,User_ID,User_rating_movie,User_rating,UserID
0,adrianbabech,2382320,10,10000
1,zeki-4,2382320,8,10001
2,Kaiko,2382320,9,10002
3,eespree,2382320,3,10003
4,magadalwarmayur,2382320,8,10004
5,Ruben17,2382320,8,10005
6,wolfghostninja,2382320,5,10006
7,andypaps101,2382320,8,10007
8,ducland,2382320,4,10008
9,maikds-30451,2382320,10,10009
10,qyfcf,2382320,10,10010
11,adrenilinmatt-56062,2382320,10,10011
12,MrFilmAndTelevisionShow,2382320,10,10012
13,allenknott3,2382320,1,10013
14,merewt,2382320,9,10014
15,lareval,2382320,10,10015
16,Mynameisroman,2382320,8,10016
17,bretgrenz-90488,2382320,7,10017
18,theflash93,2382320,10,10018
19,cerqueira-97499,2382320,9,10019
20,johnnyhbtvs27,2382320,9,10020
21,smylexx,2382320,3,10021
22,xymmgngj,2382320,10,10022
23,illmor-814-204784,2382320,8,10023
24,Neil_Williamson,2382320,8,10024
25,beldendls,2382320,7,10025
26,jeankhyoon,2382320,7,10026
27,kuner-59029,2382320,2,10027
28,ankit-singh92,2382320,9,10028
29,ryanbradford,2382320,2,10029
30,tvedukr,2382320,6,10030
31,nency,2382320,1,10031
32,ayabood,2382320,9,10032
33,BobGoran,2382320,2,10033
34,eternacotton,2382320,1,10034
35,ryanlarmar,2382320,9,10035
36,rizqiramdn,2382320,8,10036
37,uroskrusic,2382320,1,10037
38,nedyalkova-marya,2382320,9,10038
39,zameerpro,2382320,8,10039
40,mizgirov,2382320,10,10040
41,faizaansix,2382320,3,10041
42,laqsheyo,2382320,1,10042
43,franjo-33578,2382320,10,10043
44,rachxcargill,2382320,10,10044
45,ch-kartalidis,2382320,1,10045
46,damienmacnamara,2382320,5,10046
47,artisanahome-19425,2382320,1,10047
48,cowelljeremy,2382320,10,10048
49,NS_writings,2382320,1,10049
50,richard-47302,1160419,9,10050
51,jamesstucker,1160419,10,10051
52,Joejoesan,1160419,8,10052
53,israelalelei-53441,1160419,10,10053
54,jkspdqdw,1160419,pd,10054
55,FabledGentleman,1160419,9,10055
56,jyothisnambiyar,1160419,10,10056
57,halbert-04,1160419,9,10057
58,Finfrosk86,1160419,7,10058
59,barthelemy-bauters,1160419,10,10059
60,syffer,1160419,6,10060
61,kaptensturm,1160419,10,10061
62,lucjangrzesik,1160419,10,10062
63,matdelaunay,1160419,10,10063
64,chiaradm,1160419,4,10064
65,kaki33,1160419,10,10065
66,jeremyjochimek,1160419,6,10066
67,Tweetienator,1160419,5,10067
68,francoisprieto,1160419,10,10068
69,shaunvanhaelewijn,1160419,8,10069
70,sackofwhine,1160419,7,10070
71,qkjszhxp,1160419,4,10071
