,Actor_list
1,Daniel Craig
2,Ana de Armas
3,Rami Malek
4,Lea Seydoux
5,Jake Gyllenhaal
6,Riley Keough
7,Peter Sarsgaard
8,Christina Vidal
9,Alessandro Nivola
10,Leslie Odom Jr.
11,Jon Bernthal
12,Vera Farmiga
13,Tom Hardy
14,Woody Harrelson
15,Michelle Williams
16,Naomie Harris
17,Timothee Chalamet
18,Rebecca Ferguson
19,Zendaya
20,Oscar Isaac
21,Ryan Reynolds
22,Jodie Comer
23,Taika Waititi
24,Lil Rel Howery
25,Scarlett Johansson
26,Florence Pugh
27,David Harbour
28,Rachel Weisz
29,Matt Damon
30,Adam Driver
31,Harriet Walter
32,Simu Liu
33,Awkwafina
34,Tony Chiu-Wai Leung
35,Ben Kingsley
36,Kaya Scodelario
37,Robbie Amell
38,Hannah John-Kamen
39,Neal McDonough
40,Christoph Waltz
41,Ralph Fiennes
42,Eva Green
43,Judi Dench
44,Jeffrey Wright
45,Jamie Lee Curtis
46,Judy Greer
47,Andi Matichak
48,James Jude Courtney
49,Sydney Park
50,Theodore Pellerin
51,Asjha Cooper
52,Dale Whibley
53,Annabelle Wallis
54,Maddie Hasson
55,George Young
56,Michole Briana White
57,Lily-Rose Depp
58,George MacKay
59,Paddy Considine
60,Terry Notary
61,Andrew Garfield
62,Vanessa Hudgens
63,Alexandra Shipp
64,Bradley Whitford
65,Rebecca Hall
66,Sarah Goldberg
67,Vondie Curtis-Hall
68,Evan Jonigkeit
69,Riz Ahmed
70,Scott Haze
71,Javier Bardem
72,Conrad Vernon
73,Laura Brousseau
74,Kevin Pavlovic
75,Charlize Theron
76,Chloe Grace Moretz
77,Javon 'Wanna' Walton
78,Vincent Lindon
79,Agathe Rousselle
80,Garance Marillier
81,Lais Salameh
82,Gael Garcia Bernal
83,Vicky Krieps
84,Rufus Sewell
85,Alex Wolff
86,Phil Robertson
87,Joana Borja
88,Victoria Alcock
89,Cristina Rodlo
90,Jakob Cedergren
91,Jessica Dinnage
92,Omar Shargawi
93,Johan Gotthardt Olsen
94,Olga Kurylenko
95,Mathieu Amalric
96,Margot Robbie
97,Idris Elba
98,John Cena
99,Joel Kinnaman
100,Gemma Chan
101,Richard Madden
102,Kumail Nanjiani
103,Lia McHugh
104,Emma Stone
105,Emma Thompson
106,Joel Fry
107,Paul Walter Hauser
108,Mark Wahlberg
109,Chiwetel Ejiofor
110,Sophie Cookson
111,Dylan O'Brien
112,Steven Kostanski
113,Chloe Okuno
114,Ryan Prows
115,Jennifer Reeder
116,Timo Tjahjanto
117,Anna Hopkins
118,Christian Potenza
119,Brian Paul
120,Tim Campbell
121,Dev Patel
122,Alicia Vikander
123,Joel Edgerton
124,Sarita Choudhury
125,Daniel Stisen
126,Olga Kent
127,Daniel Nehme
128,Stanislav Yanevski
129,Owen Wilson
130,Paula Newsome
131,Tom Holland
132,Benedict Cumberbatch
133,Tiffany Haddish
134,Tye Sheridan
135,Willem Dafoe
136,Noomi Rapace
137,Hilmir Sn©¡r Gu©£nason
138,Bjorn Hlynur Haraldsson
139,Ingvar Sigurdsson
140,Josephine Langford
141,Hero Fiennes Tiffin
142,Louise Lombard
143,Chance Perdomo
144,Jonathan Majors
145,Regina King
146,LaKeith Stanfield
147,Alana Haim
148,Bradley Cooper
149,Skyler Gisondo
150,Sean Penn
151,Carey Mulligan
152,Bo Burnham
153,Alison Brie
154,Clancy Brown
155,Gita Pullapilly
156,Kristen Bell
157,Kirby Howell-Baptiste
158,Bebe Rexha
159,Yahya Abdul-Mateen II
160,Teyonah Parris
161,Nathan Stewart-Jarrett
162,Colman Domingo
163,Melissa McCarthy
164,Chris O'Dowd
165,Kevin Kline
166,Timothy Olyphant
167,Mary Elizabeth Winstead
168,Miku Patricia Martineau
169,Tadanobu Asano
170,Chris Evans
171,Clint Eastwood
172,Dwight Yoakam
173,Daniel V. Graulau
174,Amber Lynn Ashley
175,Megan Fox
176,Eoin Macken
177,Callan Mulvey
178,Jack Roth
179,Sydney Sweeney
180,Justice Smith
181,Ben Hardy
182,Natasha Liu Bordizzo
183,Ben Platt
184,Julianne Moore
185,Kaitlyn Dever
186,Amy Adams
187,Suzanne Coote
188,Kate Siegel
189,Jason O'Mara
190,Dule Hill
191,Lucie Guest
192,Kang-ho Song
193,Sun-kyun Lee
194,Yeo-jeong Cho
195,Woo-sik Choi
196,Thomasin McKenzie
197,Anya Taylor-Joy
198,Diana Rigg
199,Amy Andrea
200,Sunny Kaushal
201,Radhika Madan
202,Mohit Raina
203,Diana Penty
204,Tyler Gillett
205,Neve Campbell
206,Courteney Cox
207,David Arquette
208,Marley Shelton
209,Emma Butt
210,Vinnie Jones
211,Terry Stone
212,Rachel Warren
213,Vin Diesel
214,Michelle Rodriguez
215,Jordana Brewster
216,Tyrese Gibson
217,Tomasz Mandes
218,Anna Maria Sieklucka
219,Michele Morrone
220,Bronislaw Wroclawski
221,Otar Saralidze
222,Amitabh Bachchan
223,Emraan Hashmi
224,Krystle D'Souza
225,Annu Kapoor
226,Andy Serkis
227,Robert Pattinson
228,Tim Blake Nelson
229,Gavin Lewis
230,Trace Adkins
231,Camila Cabello
232,Billy Porter
233,Nicholas Galitzine
234,Idina Menzel
235,Finn Wolfhard
