,Director
1,Cary Joji Fukunaga
2,Antoine Fuqua
3,Alan Taylor
4,Andy Serkis
5,Denis Villeneuve
6,Shawn Levy
7,Cate Shortland
8,Ridley Scott
9,Destin Daniel Cretton
10,Johannes Roberts
11,Sam Mendes
12,Martin Campbell
13,David Gordon Green
14,Patrick Brice
15,James Wan
16,Nathalie Biancheri
17,Lin-Manuel Miranda
18,David Bruckner
19,Ruben Fleischer
20,Greg Tiernan
21,Julia Ducournau
22,M. Night Shyamalan
23,Santiago Menghini
24,Gustav Möller
25,Marc Forster
26,James Gunn
27,Chloé Zhao
28,Craig Gillespie
29,Simon Barrett
30,David Lowery
31,Fansu Njie
32,Wes Anderson
33,Jon Watts
34,Paul Schrader
35,Valdimar Jóhannsson
36,Castille Landon
37,Jeymes Samuel
38,Paul Thomas Anderson
39,Emerald Fennell
40,Aron Gaudet
41,Nia DaCosta
42,Theodore Melfi
43,Cedric Nicolas-Troyan
44,Rian Johnson
45,Clint Eastwood
46,S.K. Dale
47,Michael Mohan
48,Stephen Chbosky
49,Matt Angel
50,Bong Joon Ho
51,Edgar Wright
52,Kunal Deshmukh
53,Matt Bettinelli-Olpin
54,Nick Nevern
55,Justin Lin
56,Barbara Bialowas
57,Rumi Jaffery
58,Matt Reeves
59,Potsy Ponciroli
60,Kay Cannon
61,Quentin Tarantino
62,Robert Cullen
63,Jaume Collet-Serra
64,Adam Salky
65,Lana Wachowski
66,Justin Chon
67,Martin Scorsese
68,Todd Phillips
69,Chris Columbus
70,David Fincher
71,Robert Schwentke
72,Ari Aster
73,Pablo Larraín
74,Anthony Russo
75,Joe Wright
76,Guy Ritchie
77,Anne Fletcher
78,Ari Sandel
79,Christopher Nolan
80,James Cullen Bressack
81,Sang-ho Yeon
82,Derek Drymon
83,Adam Robitel
84,Dexter Fletcher
85,Charles Van Tieghem
86,Michael Sarnoski
87,Kinji Fukasaku
88,Rob Zombie
89,Eli Roth
90,Jason Reitman
91,John Krasinski
92,Rodo Sayagues
93,Patty Jenkins
94,Zack Snyder
95,Ilya Naishuller
96,Chris McKay
97,Simon Kinberg
98,Gary Ross
99,Karyn Kusama
100,Jane Campion
101,Michael Dougherty
102,Maritte Lee Go
103,Miguel Arteta
104,Andy Muschietti
105,Florian Zeller
106,Lee Tamahori
107,Mike Flanagan
108,Sam Raimi
109,Lisa Joy
110,Keenen Ivory Wayans
111,Simon McQuoid
112,Neill Blomkamp
113,Peter Jackson
114,Marc Munden
115,Mark Waters
116,Axelle Carolyn
117,Aharon Keshales
118,Jared Bush
119,Adam McKay
120,Gigi Saul Guerrero
121,Kaige Chen
122,Colin Tilley
123,Edward Zwick
124,Sean Baker
125,Navot Papushado
126,Ninja Thyberg
127,Steve Beck
128,George Miller
129,Tony Scott
130,Kevin Smith
131,Dennis Dugan
132,Leigh Janiak
133,Matthias Schweighöfer
134,Sian Heder
135,Matthew Vaughn
136,David Yarovesky
137,Robert Eggers
138,Dominic Cooke
139,Jeff Beesley
140,Enrico Casarosa
141,Christian Carion
142,Greta Gerwig
143,Scott Cooper
144,J.J. Abrams
145,Colin Trevorrow
146,Park Chan-Wook
147,Tim Burton
148,Steven Spielberg
149,Catherine Hardwicke
150,Tim Miller
151,Michael Showalter
152,Alessio Della Valle
153,David Ayer
154,Karen Cinorre
155,Mary Harron
156,Joe Carnahan
157,Bryan Singer
158,Abdellatif Kechiche
159,Neil Burger
160,Joel Coen
161,Michael Chaves
162,Taika Waititi
163,Steven Brill
164,Taylor Sheridan
165,Jenny Gage
166,Patrick Hughes
167,Sarah Smith
168,Sion Sono
169,Elizabeth Banks
170,Richard Linklater
171,Bobby Farrelly
172,Tom McCarthy
173,Malcolm D. Lee
174,Joseph Kosinski
175,Thomas Vinterberg
176,Anna Boden
177,Adam Wingard
178,Luke Greenfield
179,Ethan Coen
180,Everardo Gout
181,Chad Stahelski
182,Jon Keeyes
183,Nancy Meyers
184,Tom Hooper
185,Christopher McQuarrie
186,James Mangold
187,Shady El-Hamus
188,John Lee Hancock
189,Jim Jarmusch
190,Cal Brunker
191,Brian Helgeland
192,Sam Taylor-Johnson
193,Autumn de Wilde
194,Jonathan Butterell
195,Christopher Ashley
196,Luc Besson
197,Luca Guadagnino
198,Jordan Peele
199,Ryan Coogler
200,Fran Kranz
201,Sarah Adina Smith
202,Fede Alvarez
203,Rawson Marshall Thurber
204,Leigh Whannell
205,John Swab
206,David Michôd
207,Anders Thomas Jensen
208,Jemaine Clement
209,Don Hall
210,Marc Webb
211,James Wong
212,Richard Kelly
213,Vishnuvardhan
214,Mike Newell
215,Christopher Landon
216,Scott Waugh
217,Ryan Zaragoza
218,Alex Zamm
219,David Yates
220,James Cameron
221,Craig Zobel
222,Roar Uthaug
223,Bob Persichetti
224,Alexandre Aja
225,Doug Liman
226,Vance Null
227,Damien Chazelle
228,David Leitch
229,Brian Andrew Mendoza
230,Rich Newey
231,Michael Engler
232,Paul Greengrass
233,Baz Luhrmann
234,Adam Randall
235,A.L. Vijay
236,Marcus Nispel
237,Michael Noer
238,Gavin Hood
239,Gore Verbinski
240,Ben Affleck
241,Andrew Niccol
242,Thomas Kail
243,Matt Peters
244,Nima Nourizadeh
245,Tom Ford
246,Antonio Campos
247,Hayao Miyazaki
248,Gaspar Noé
249,Drew Goddard
250,Wolfgang Petersen
251,Jake Kasdan
252,Darren Lynn Bousman
253,Dan Gilroy
254,Roger Kumble
255,Darren Aronofsky
256,Cathy Yan
257,Michael Gracey
258,Rob Minkoff
259,Robert Luketic
260,Alex Garland
261,Rick Rosenthal
262,Mel Gibson
263,Alejandro G. Iñárritu
264,Henry Selick
265,Kirk DeMicco
266,Stephen Sommers
267,Mark Romanek
268,John Pollono
269,Dragan Bjelogrlic
270,Jonathan Hensleigh
271,Alfonso Cuarón
272,Dennis Iliadis
273,Maggie Gyllenhaal
274,Ben Simms
275,Kevin Macdonald
276,Joss Whedon
277,Manuel Concha
278,Galder Gaztelu-Urrutia
279,Jon M. Chu
280,Takashi Miike
281,Magnus Martens
282,Sara Colangelo
283,André Øvredal
284,Steven Soderbergh
285,Cédric Jimenez
286,Sean Ellis
287,Tom McGrath
288,Danny Boyle
289,David Raymond
290,Michael Matthews
291,Scott Derrickson
292,Mike P. Nelson
293,Pete Docter
294,Robert Stromberg
295,John Lasseter
296,Mennan Yapo
297,Robert Zemeckis
298,Jon Favreau
299,Juana Macías
300,Kenneth Branagh
301,Yorgos Lanthimos
302,Michael Bay
303,Mark Herman
304,Miguel Sapochnik
305,Leos Carax
306,Brendan Steere
307,Lee Unkrich
308,Shaka King
309,Robert Rodriguez
310,Jason Moore
311,Joe Johnston
312,Bernardo Bertolucci
313,Robert Connolly
314,Michel Gondry
315,Wes Craven
316,Hernan Jimenez
317,Banjong Pisanthanakun
318,Peter Farrelly
319,David Robert Mitchell
320,Ang Lee
321,Clay Tarver
322,Nick Cassavetes
323,Neil Marshall
324,Guillermo del Toro
325,Tanya Wexler
326,Tim Story
327,Srdjan Spasojevic
328,Samuel Bayer
329,Steven Caple Jr.
330,Nicolas Winding Refn
331,Genndy Tartakovsky
332,Sean Penn
333,Bruce Hunt
334,David Lynch
335,Benny Safdie
336,Tom Tykwer
337,Daniel Espinosa
338,Pawan Kripalani
339,Olivia Wilde
340,Gil Kenan
341,Richard LaGravenese
342,Sam Hargrave
343,Rob Savage
344,Cameron Crowe
345,James Ashcroft
346,James McTeigue
347,Jee-woon Kim
348,Max Barbakow
349,Ron Clements
350,Nat Faxon
351,Liesl Tommy
352,McG
353,Michael Rymer
354,Kwang Il Han
355,Paul Verhoeven
356,Thea Sharrock
357,Jaume Balagueró
358,Danishka Esterhazy
359,Paul Feig
360,Bradley Cooper
361,Gavin O'Connor
362,Giuseppe Tornatore
363,Gene Stupnitsky
364,Joachim Rønning
365,Alex Proyas
366,Elisabeth Röhm
367,Haruo Sotozaki
368,Raja Gosnell
369,George Clooney
370,Frank Miller
371,Maria Schrader
372,Richard Curtis
373,Kevin Lewis
374,Roman Polanski
375,Laurent Bouhnik
376,Francis Lawrence
377,J Blakeson
378,David Prior
379,Paul W.S. Anderson
380,Edward Norton
381,Spike Jonze
382,Jay Roach
383,Bill Condon
384,Steven Shainberg
385,J.A. Bayona
386,Josh Ruben
387,Bryan Bertino
388,Jennifer Kent
389,Mike Judge
390,Kenji Nagasaki
391,Augustine Frizzell
392,Olivier Nakache
393,Fernando Meirelles
394,Adrian Lyne
395,Peyton Reed
396,Lee Isaac Chung
397,David R. Ellis
398,Martin McDonagh
399,Gareth Edwards
400,Louis Leterrier
401,David O. Russell
402,Stephen Daldry
403,Matt Ross
404,Ron Howard
405,Niki Caro
406,Simon West
407,Josh Boone
408,David F. Sandberg
409,Hallie Meyers-Shyer
410,Tom Six
411,Peter Winther
412,Morten Tyldum
413,Ric Roman Waugh
414,Adam Shankman
415,Gareth Evans
416,Ronny Yu
417,Chris Buck
418,Frank Darabont
419,Reinaldo Marcus Green
420,Roger Michell
421,Woody Allen
422,Rob Cohen
423,Harry Bradbeer
424,Joel Gallen
425,Mikael Håfström
426,Phil Lord
427,Peter Thorwarth
428,Vaughn Stein
429,Stephen Gaghan
430,Robert Lorenz
431,Stephen Merchant
432,Aneesh Chaganty
433,Len Wiseman
434,Ranjit Tewari
435,Ferdinando Cito Filomarino
436,Shane Black
437,Hwang Dong-hyuk
438,Andy Tennant
439,Tate Taylor
440,Steven R. Monroe
441,Shari Springer Berman
442,Alice Waddington
443,Pascal Laugier
444,Byron Howard
445,Rupert Sanders
446,Oh-Seung Kwon
447,Floria Sigismondi
448,Seth Gordon
449,Jonathan Glazer
450,Amy Koppelman
451,Joe Mateo
452,David Frankel
453,Gilles Paquet-Brenner
454,Michael Rianda
455,Todd Strauss-Schulson
456,Makoto Shinkai
457,Lars von Trier
458,Martin Bourboulon
459,Joachim Trier
460,Brad Bird
461,William Eubank
462,Ben Lewin
463,Jeff Fowler
464,Mike Mills
465,Lenny Abrahamson
466,Edward Drake
467,Greg Mottola
468,Kathryn Bigelow
469,Joel Crawford
470,Randall Emmett
471,Thomas Sieben
472,Daniel Sandu
473,Steven Knight
474,Wes Ball
475,Tony Giglio
476,Jared Hess
477,Tomas Alfredson
478,James Foley
479,Jeremiah Zagar
480,Matthijs van Heijningen Jr.
481,Boaz Yakin
482,James Gray
483,Ben Stiller
484,Andrew Adamson
485,Darius Marder
486,Gina Prince-Bythewood
487,David Zucker
488,Dean Parisot
489,Jeff Schaffer
490,Brad Furman
491,Brad Anderson
492,Lorcan Finnegan
493,Lars Klevberg
494,David Slade
495,Jean-Pierre Jeunet
496,Severin Fiala
497,Susanne Bier
498,Sofia Coppola
499,Spike Lee
500,Noah Baumbach
501,John R. Leonetti
502,Jon Amiel
503,Walt Becker
504,Brad Silberling
505,Na Hong-jin
506,Peter Chelsom
507,Pierre Morel
508,Howard McCain
509,Aaron Schneider
510,Janicza Bravo
511,Rob Schmidt
512,Sebastián Lelio
513,Céline Sciamma
514,Rod Lurie
515,Felix van Groeningen
516,James DeMonaco
517,Simon Stone
518,Corin Hardy
519,Carlo Mirabella-Davis
520,Phyllida Lloyd
521,Andrew Baird
522,Barry Sonnenfeld
523,Thomas Bezucha
524,Chris Butler
525,Won-Chan Hong
526,Aaron Horvath
527,Mark Mylod
528,Rose Glass
529,Harmony Korine
530,Evan Spiliotopoulos
531,Ben Wheatley
532,Brian Kirk
533,Steve McQueen
534,Travis Knight
535,Glenn Ficarra
536,Paul Haggis
537,Agata Alexander
538,David Dobkin
539,Stephen Herek
540,Josh Greenbaum
541,Keanu Reeves
542,Julius Avery
543,Gary Winick
544,Stefano Sollima
545,Deva Katta
546,Timo Vuorensola
547,Judd Apatow
548,Curtis Hanson
549,Mike Nichols
550,Bennett Miller
551,Will Sharpe
552,Jean-Marc Vallée
553,Joseph Gordon-Levitt
554,Nadine Labaki
555,Clare Niederpruem
556,David Silverman
557,Peter Benson
558,Victor Levin
559,Andrew Douglas
560,Radu Jude
561,Mélanie Laurent
562,D.J. Caruso
563,Janjot Singh
564,Panos Cosmatos
565,Tim Fehlbaum
566,Andrzej Sekula
567,Vince Gilligan
568,Oriol Paulo
569,Lorene Scafaria
570,John Francis Daley
571,Garth Jennings
572,Adil El Arbi
573,Aaron Sorkin
574,Barry Jenkins
575,Roland Emmerich
576,Trey Edward Shults
577,Peter Billingsley
578,Andrew Stanton
579,Turkan Derya
580,Mark Dennis
581,Breck Eisner
582,Michael Spierig
583,Kenny Ortega
584,Derrick Borte
585,Kenneth Lonergan
586,Andrew Dominik
587,Amber Sealey
588,Dave Wilson
589,James Isaac
590,Mark Steven Johnson
591,Rebecca Eskreis
592,Ana Lily Amirpour
593,Lee Toland Krieger
594,S.J. Clarkson
595,Eytan Rockaway
596,Pierre Coffin
597,Gavin Rothery
598,Pedro Almodóvar
599,Todd Haynes
600,Nathan Greno
601,Gabriele Muccino
602,George Lucas
603,Dan Trachtenberg
604,Michael Mann
605,Xavier Gens
606,Alejandro Amenábar
607,Mia Hansen-Løve
608,Rob Marshall
609,Eric Bress
610,Michael Polish
611,Alexander Payne
612,Brandon Cronenberg
613,Tommy Wiseau
614,Rob Letterman
615,Ryûsuke Hamaguchi
616,Sean Anders
617,Kar-Wai Wong
618,George Gallo
619,Andrea Di Stefano
620,Tetsuo Yajima
621,Anthony Minghella
622,Anna Biller
623,Brett Ratner
624,Harry Macqueen
625,Christophe Gans
626,Apichatpong Weerasethakul
627,Peter Segal
