,Movie_No
1,2382320
2,9421570
3,8110232
4,7097896
5,1160419
6,6264654
7,3480822
8,4244994
9,9376612
10,6920084
11,2379713
12,0381061
13,10665338
14,8150814
15,3811906
16,10698174
17,8721424
18,9731534
19,1270797
20,1074638
21,11125620
22,10944760
23,10954652
24,13056008
25,6742252
26,0830515
27,6334354
28,9032400
29,3228774
30,6654210
31,14867006
32,9243804
33,12335692
34,8847712
35,10872600
36,11196036
37,9812474
38,13069986
39,10696784
40,11271038
41,9620292
42,9054192
43,9347730
44,5164438
45,7737528
46,8946378
47,1924245
48,11804152
49,11235772
50,9357050
51,12383460
52,6751668
53,9639470
54,11314148
55,11245972
56,12982370
57,5433138
58,10886166
59,10309902
60,1877830
61,12731980
62,10155932
63,1502407
64,1620981
65,7131622
66,10101702
67,0870154
68,5563324
69,1856101
70,10838180
71,11121664
72,0993846
73,7286456
74,0241527
75,0443706
76,8404256
77,8772262
78,12536294
79,4154796
80,12889404
81,11083552
82,11909878
83,1666801
84,6723592
85,12861508
86,5700672
87,9848626
88,0172495
89,9844522
90,2066051
91,14700948
92,0816692
93,11003218
94,0266308
95,0373883
96,3605418
97,0468569
98,6079772
99,4513678
100,8332922
101,6246322
102,0397065
103,7126948
104,12361974
105,5537002
106,7888964
107,9777666
108,8579674
109,8356942
110,1392170
111,1131734
112,11214590
113,10293406
114,0862856
115,1392214
116,7784604
117,13372884
118,0279113
119,1396484
120,10272386
121,0246460
122,1375666
123,5606664
124,0407887
125,0145487
126,3272066
127,11564570
128,0175142
129,0293429
130,6990734
131,0120737
132,13649036
133,0377092
134,13372794
135,11284502
136,2953050
137,11286314
138,13372992
139,1853728
140,13462900
141,2267998
142,15141288
143,0758752
144,13453006
145,5022702
146,8368408
147,8550054
148,0245674
149,1392190
150,0328107
151,3099498
152,1375670
153,6566576
154,13024674
155,0361748
156,10366460
157,6856242
158,10521144
159,7984734
160,8368512
161,15209000
162,12801262
163,0288477
164,13234058
165,3281548
166,7740510
167,0796366
168,4590256
169,2802144
170,1457767
171,8041270
172,0364569
173,0121164
174,0264464
175,1099212
176,1431045
177,9115530
178,5344054
179,6320628
180,1386697
181,11271800
182,0144084
183,7638348
184,1727824
185,2278871
186,9664108
187,10095582
188,5886046
189,7069210
190,10648342
191,1560220
192,10682266
193,3215824
194,4126476
195,8385148
196,7504818
197,6372694
198,4154756
199,5362988
200,5033998
201,0332379
202,0480687
203,2015381
204,10696896
205,3501632
206,3554046
207,1745960
208,10288566
209,4154664
210,5034838
211,3748172
212,0491152
213,0477348
214,10327252
215,2911666
216,1568346
217,2527338
218,8367814
219,0234215
220,13694706
221,0457939
222,5697572
223,9603212
224,1462764
225,12748300
226,1345836
227,10016180
228,6644200
229,8695030
230,0993840
231,11832046
232,0183790
233,0363547
234,2322441
235,9214832
236,2543164
237,2250912
238,8635092
239,1677720
240,12885272
241,2234155
242,7456310
243,5726616
244,5052448
245,0413300
246,1825683
247,11389748
248,11771006
249,0265208
250,4160708
251,1723121
252,2278388
253,1051906
254,11388416
255,4263482
256,7984766
257,7798634
258,1133985
259,9770150
260,11655202
261,1119646
262,3416742
263,5109280
264,0948470
265,0195714
266,0246578
267,10295212
268,4954522
269,0330373
270,10919380
271,3291150
272,13372944
273,1130884
274,13464350
275,1201607
276,0499549
277,8244784
278,1365519
279,0482571
280,4633694
281,1148204
282,0454841
283,0489099
284,14578032
285,6857112
286,3397884
287,2582802
288,5463162
289,5748448
290,7349950
291,10731768
292,15208950
293,6398184
294,0414387
295,6878306
296,1343092
297,10763820
298,10152736
299,0758746
300,5093026
301,5431890
302,0325980
303,0770828
304,2361317
305,1637688
306,1285016
307,8503618
308,5012504
309,1596363
310,1446714
311,1636826
312,4550098
313,7395114
314,0245429
315,3774694
316,0439572
317,2076822
318,1259521
319,0332452
320,7975244
321,10665342
322,10342730
323,2872718
324,10362466
325,0947798
326,7713068
327,1485796
328,0180093
329,0338094
330,3581652
331,1311067
332,0250494
333,0470752
334,0295297
335,0387564
336,0220506
337,2119532
338,1663202
339,9701940
340,0327597
341,6338498
342,0338526
343,3315342
344,2584384
345,0265459
346,0167260
347,9789042
348,8737152
349,3890160
350,3758814
351,0304141
352,0844708
353,9100054
354,15387782
355,0446029
356,4761112
357,9419884
358,1028528
359,0783233
360,0848228
361,13502736
362,1748122
363,8228288
364,1321510
365,3354222
366,4479380
367,8009744
368,3387520
369,11525644
370,7991608
371,1302006
372,0838283
373,10404944
374,0367594
375,5013056
376,1477834
377,0460740
378,6932874
379,0289043
380,10366206
381,6533240
382,2222042
383,1211837
384,9110170
385,2948372
386,2395427
387,0469494
388,1587310
389,0317219
390,0477071
391,0805647
392,0371746
393,0368447
394,11698662
395,0416449
396,0800369
397,3464902
398,0418279
399,0914798
400,3420504
401,6217926
402,0139654
403,1843303
404,0213149
405,1872181
406,2380307
407,9784798
408,0437086
409,1981677
410,0458339
411,0309987
412,5144174
413,0338013
414,0316654
415,3659388
416,0451279
417,1262416
418,10752004
419,2980592
420,4016934
421,13446168
422,1630029
423,0409459
424,1706620
425,5109784
426,6146586
427,6966692
428,0266697
429,3235888
430,1025100
431,3626476
432,0208092
433,0332280
434,0903624
435,4972582
436,0435625
437,1631867
438,7740496
439,1464335
440,10228134
441,0375912
442,0486655
443,1077368
444,1361336
445,1273235
446,0242653
447,0162222
448,1179056
449,5090568
450,0780504
451,0372784
452,7144666
453,0837562
454,1922777
455,0380510
456,2388715
457,0758758
458,0298130
459,0388795
460,0402901
461,7657566
462,0166924
463,1438176
464,4123432
465,5727208
466,1935859
467,4846340
468,1371111
469,5108870
470,1255953
471,10083640
472,10731256
473,1034415
474,0385880
475,12789558
476,2554274
477,0265086
478,0463998
479,8936646
480,12749596
481,0181875
482,6874762
483,0434409
484,3896198
485,1588170
486,9484998
487,1950186
488,0209144
489,3521164
490,4649466
491,1727388
492,0790724
493,3460252
494,2452150
495,4225622
496,0432283
497,0457430
498,3783958
499,0356910
500,0238546
501,11657662
502,6823148
503,0455944
504,2316411
505,2674426
506,9742794
507,4006302
508,0373889
509,5439796
510,6443346
511,8079248
512,0369610
513,1013743
514,0840361
515,1478338
516,1517451
517,2140479
518,13392012
519,0974015
520,1707386
521,0290673
522,0213847
523,6977338
524,4777008
525,3402236
526,0926084
527,4912910
528,2404233
529,13269536
530,11032374
531,2283362
532,0324216
533,6111574
534,0120903
535,0286106
536,0267913
537,3108894
538,0401792
539,2713180
540,2975590
541,0167261
542,2404435
543,1483013
544,13087796
545,2106476
546,2191701
547,3065204
548,4123430
549,1650062
550,0314331
551,8114980
552,0253474
553,0353969
554,0417741
555,1879030
556,1951264
557,3104988
558,9893250
559,1156398
560,5867314
561,2105044
562,6475714
563,0385887
564,1798709
565,3498820
566,6394270
567,1790809
568,8106534
569,1591095
570,2771200
571,0274812
572,4881806
573,3569230
574,9288692
575,4925292
576,1289401
577,2316204
578,0482606
579,2798920
580,1599348
581,1673434
582,2321549
583,0387808
584,2873282
585,0120804
586,0887261
587,5442430
588,1907668
589,0414982
590,4555426
591,13544716
592,1893273
593,1675434
594,0758774
595,0317248
596,0250797
597,0458525
598,2488496
599,0463985
600,0478970
601,10633456
602,0309593
603,5027774
604,3748528
605,1670345
606,1800241
607,0976051
608,3553976
609,0268978
610,3183660
611,4566758
612,2194499
613,0146316
614,1245526
615,4682266
616,6139732
617,6806448
618,4361050
619,0448115
620,0257044
621,5719700
622,1467304
623,10691162
624,1798684
625,7078926
626,2084970
627,7737786
628,0427327
629,14123284
630,0329101
631,2294629
632,0878804
633,0884328
634,9620288
635,0362227
636,1981115
637,7078780
638,0323298
639,1605783
640,0232500
641,7846844
642,0277371
643,1161864
644,1232829
645,2527336
646,5715874
647,2872732
648,9114286
649,6402468
650,2231874
651,0765429
652,6673612
653,6565702
654,5580390
655,1840309
656,6902332
657,6513120
658,0133152
659,8633478
660,0816711
661,0320691
662,1895587
663,11260832
664,10230994
665,1300854
666,2070649
667,0256415
668,1454029
669,0408306
670,1242432
671,6450804
672,1014759
673,10962368
674,6127004
675,1029234
676,2948356
677,1219827
678,14757872
679,7510346
680,1469304
681,1441395
682,10925852
683,14460998
684,0458352
685,4425200
686,1045658
687,0215129
688,1869347
689,1661199
690,7979580
691,2118624
692,10037014
693,5311514
694,4003440
695,4916630
696,0134084
697,10366514
698,10370710
699,0240772
700,5638642
701,0382932
702,5774060
703,0198781
704,7392014
705,3794354
706,1727776
707,10986222
708,1288558
709,1659337
710,1638355
711,3170832
712,1136608
713,0320661
714,11762434
715,1046173
716,0309698
717,1291584
718,0829482
719,6105098
720,3799694
721,2005151
722,1489887
723,0327056
724,10640346
725,1790885
726,2850386
727,9130508
728,1937390
729,11656220
730,15198608
731,8886670
732,2692904
733,1790864
734,1843866
735,5164214
736,0402910
737,0374900
738,1340800
739,4477536
740,8009428
741,0421715
742,0347149
743,0905372
744,0210945
745,1974419
746,1024648
747,2935510
748,0942385
749,0363771
750,0988045
751,5363618
752,0365748
753,0472043
754,7556122
755,0306047
756,2660888
757,9701942
758,2023587
759,1086064
760,0356150
761,6412452
762,1205489
763,1189340
764,1911644
765,8368406
766,2096673
767,0126029
768,8663516
769,0389722
770,0211915
771,1979320
772,7347846
773,1170358
774,2737304
775,0335266
776,1321511
777,7653254
778,3322940
779,0298814
780,0407304
781,1228705
782,2397461
783,0317705
784,1386703
785,0339291
786,5215952
787,0240890
788,1355644
789,0936501
790,0462465
791,6048922
792,1041829
793,5439812
794,1060277
795,0295700
796,3385516
797,6108178
798,8613070
799,3833480
800,0337978
801,3778644
802,1226837
803,2184339
804,0381707
805,1535108
806,3661210
807,5814060
808,0357413
809,8372298
810,0795421
811,0408236
812,0970179
813,1959563
814,0217505
815,8545482
816,2543472
817,0257106
818,1951266
819,0120912
820,9340860
821,1623288
822,12763920
823,5083738
824,3829266
825,6718170
826,0770703
827,7557108
828,2101441
829,1270798
830,9419056
831,13429362
832,1560747
833,8688634
834,2024544
835,0383574
836,1980209
837,0425112
838,4701182
839,0294870
840,1570728
841,0375679
842,8956324
843,15239678
844,10521092
845,0396269
846,1649419
847,4465564
848,7959026
849,11742798
850,3797512
851,2016940
852,4530422
853,5220122
854,1951265
855,0337563
856,1250777
857,3631112
858,0251736
859,0499097
860,13914000
861,14121726
862,9686708
863,0298203
864,0376541
865,1210166
866,10687506
867,0790636
868,7139936
869,2229499
870,8267604
871,7349662
872,15112934
873,0206634
874,8241000
875,14940196
876,0468492
877,11024272
878,0800080
879,2562232
880,6987770
881,0384806
882,14033502
883,11681282
884,2820852
885,1059786
886,1723811
887,14156154
888,6998518
889,0415306
890,6506264
891,10539172
892,9243946
893,4857264
894,5503686
895,1229238
896,0209163
897,2704998
898,1142977
899,0319061
900,0227538
901,0450278
902,3470600
903,6823368
904,0382625
905,1049413
906,1502397
907,1070874
908,4975722
909,0319262
910,4695012
911,2310332
912,1078940
913,2239822
914,0266543
915,13717980
916,1454468
917,4815122
918,0455407
919,2397535
920,3440298
921,10059518
922,0978764
923,4034228
924,0181689
925,2403021
926,1655389
927,5095030
928,0477347
929,6467266
930,13507778
931,6924650
932,1634106
933,0211443
934,0287978
935,0360486
936,5691670
937,7830014
938,0265666
939,8580274
940,6294822
941,4334266
942,1655441
943,6857128
944,5078852
945,1323594
946,6882604
947,12618926
948,9071322
949,0398286
950,0454921
951,0450259
952,0121766
953,1179933
954,0369339
955,0361862
956,0465494
957,5776858
958,0230600
959,6910282
960,1298650
961,0289879
962,7050946
963,3766354
964,1389072
965,1403865
966,1649418
967,0822854
968,0395584
969,1972591
970,0212985
971,5918982
972,0368226
973,1051904
974,8359848
975,14039582
976,7401588
977,0118694
978,1340138
979,5420210
980,1833116
981,11819890
982,0121765
983,0405159
984,6341832
985,0159365
986,3908142
987,0289765
988,4209788
989,11169050
990,1877832
991,0480249
992,0384537
993,2179136
994,11138512
995,8399288
996,5308322
997,15398776
998,1663662
999,0398165
1000,1190080
