,Director
1,Cary Joji Fukunaga
2,Antoine Fuqua
3,Alan Taylor
4,Andy Serkis
5,Denis Villeneuve
6,Shawn Levy
7,Cate Shortland
8,Ridley Scott
9,Destin Daniel Cretton
10,David Gordon Green
11,Patrick Brice
12,James Wan
13,Nathalie Biancheri
14,David Bruckner
15,Greg Tiernan
16,Julia Ducournau
17,M. Night Shyamalan
18,Santiago Menghini
19,James Gunn
20,Craig Gillespie
21,Simon Barrett
22,David Lowery
23,Wes Anderson
24,Paul Schrader
25,Valdimar Jóhannsson
26,Castille Landon
27,Emerald Fennell
28,Aron Gaudet
29,Nia DaCosta
30,Theodore Melfi
31,Cedric Nicolas-Troyan
32,Clint Eastwood
33,S.K. Dale
34,Michael Mohan
35,Stephen Chbosky
36,Edgar Wright
37,Nick Nevern
38,Justin Lin
39,Barbara Bialowas
40,Rumi Jaffery
41,Potsy Ponciroli
42,Kay Cannon
43,Robert Cullen
44,Jaume Collet-Serra
45,Adam Salky
46,Justin Chon
47,Robert Schwentke
48,Pablo Larraín
49,Joe Wright
50,Guy Ritchie
51,Christopher Nolan
52,Derek Drymon
53,Adam Robitel
54,Charles Van Tieghem
55,Michael Sarnoski
56,Martin Campbell
57,John Krasinski
58,Rodo Sayagues
59,Patty Jenkins
60,Zack Snyder
61,Ilya Naishuller
62,Chris McKay
63,Jane Campion
64,Florian Zeller
65,Lisa Joy
66,Simon McQuoid
67,Marc Munden
68,Gigi Saul Guerrero
69,Kaige Chen
70,Colin Tilley
71,Sean Baker
72,Navot Papushado
73,Ninja Thyberg
74,Leigh Janiak
75,Sian Heder
76,David Yarovesky
77,Dominic Cooke
78,Enrico Casarosa
79,Christian Carion
80,Mark Waters
81,Michael Showalter
82,Alessio Della Valle
83,Karen Cinorre
84,Joe Carnahan
85,Neil Burger
86,Joel Coen
87,Michael Chaves
88,Steven Brill
89,Taylor Sheridan
90,Patrick Hughes
91,Sarah Smith
92,Sion Sono
93,Tom McCarthy
94,Malcolm D. Lee
95,Thomas Vinterberg
96,Adam Wingard
97,Everardo Gout
98,John Lee Hancock
99,Cal Brunker
100,Autumn de Wilde
101,Jonathan Butterell
102,Fran Kranz
103,Sarah Adina Smith
104,Leigh Whannell
105,John Swab
106,Chloé Zhao
107,Anders Thomas Jensen
108,Don Hall
109,Vishnuvardhan
110,Christopher Landon
111,Craig Zobel
112,Brian Andrew Mendoza
113,Rich Newey
114,Paul Greengrass
115,A.L. Vijay
116,Thomas Kail
117,Antonio Campos
118,Doug Liman
119,Darren Lynn Bousman
120,Roger Kumble
121,Cathy Yan
122,Kirk DeMicco
123,John Pollono
124,Dragan Bjelogrlic
125,Jonathan Hensleigh
126,Maggie Gyllenhaal
127,Kevin Macdonald
128,Manuel Concha
129,Jon M. Chu
130,Magnus Martens
131,Sara Colangelo
132,Steven Soderbergh
133,Cédric Jimenez
134,Tom McGrath
135,Michael Matthews
136,Mike P. Nelson
137,Pete Docter
138,Robert Zemeckis
139,Juana Macías
140,Leos Carax
141,Shaka King
142,Robert Connolly
143,Banjong Pisanthanakun
144,Clay Tarver
145,Tanya Wexler
146,Tim Story
147,Scott Derrickson
148,Pawan Kripalani
149,Kenneth Branagh
150,Sam Hargrave
151,Rob Savage
152,James Ashcroft
153,Max Barbakow
154,Liesl Tommy
155,Kwang Il Han
156,Paul Verhoeven
157,Jaume Balagueró
158,Neill Blomkamp
159,Elisabeth Röhm
160,Haruo Sotozaki
161,Maria Schrader
162,Kevin Lewis
163,J Blakeson
164,David Prior
165,Paul W.S. Anderson
166,Josh Ruben
167,Kenji Nagasaki
168,Augustine Frizzell
169,Lee Isaac Chung
170,Niki Caro
171,Josh Boone
172,Peter Winther
173,Ric Roman Waugh
174,Reinaldo Marcus Green
175,Harry Bradbeer
176,Peter Thorwarth
177,Vaughn Stein
178,Stephen Gaghan
179,Robert Lorenz
180,Aneesh Chaganty
181,Ranjit Tewari
182,Ferdinando Cito Filomarino
183,Shari Springer Berman
184,Oh-Seung Kwon
185,Floria Sigismondi
186,Joe Mateo
187,Michael Rianda
188,Martin Bourboulon
189,Joachim Trier
190,William Eubank
191,Ben Lewin
192,Jeff Fowler
193,Mike Mills
194,Edward Drake
195,Joel Crawford
196,Anthony Russo
197,Randall Emmett
198,Thomas Sieben
199,Daniel Sandu
200,Gina Prince-Bythewood
201,Dean Parisot
202,Aaron Schneider
203,Janicza Bravo
204,Simon Stone
205,Andrew Baird
206,Thomas Bezucha
207,Won-Chan Hong
208,Evan Spiliotopoulos
209,Ben Wheatley
210,Matthijs van Heijningen Jr.
211,Stephen Herek
212,Josh Greenbaum
213,Stefano Sollima
214,Deva Katta
215,Judd Apatow
216,Will Sharpe
217,Clare Niederpruem
218,David Silverman
219,Peter Benson
220,McG
221,Radu Jude
222,Mélanie Laurent
223,Tim Fehlbaum
224,Adil El Arbi
225,Aaron Sorkin
226,Derrick Borte
227,Amber Sealey
228,Dave Wilson
229,Rebecca Eskreis
230,David Dobkin
231,Eytan Rockaway
232,Gavin Rothery
233,Pedro Almodóvar
234,Mia Hansen-Løve
235,Michael Polish
236,Brandon Cronenberg
237,Ryûsuke Hamaguchi
238,George Gallo
239,Tetsuo Yajima
240,Alexandre Aja
241,Harry Macqueen
242,Apichatpong Weerasethakul
243,Chase Palmer
244,Charlie Kaufman
245,Roberto De Feo
246,S.J. Chiro
247,Mauricio Eça
248,Stephen Durham
249,Tate Taylor
250,Remi Weekes
251,Craig Brewer
252,Renny Harlin
253,Michael Cristofer
254,Joanna Hogg
255,Ivan Kavanagh
256,Gerard Bush
257,Kyle Rankin
258,Andrew Levitas
259,Deon Taylor
260,Lina Roessler
261,Rebecca Hall
262,Sang-ho Yeon
263,David Fincher
264,Francis Lee
265,Zoe Lister-Jones
266,Coke Daniels
267,Chung-Hyun Lee
268,Ben Falcone
269,Josh Trank
270,Mark Williams
271,Ty Roberts
272,Michael Haussman
273,Roseanne Liang
274,Sekhar Kammula
275,Joe Penna
276,Dante Aubain
277,Justin Lee
278,Fisher Stevens
279,Dan Scanlon
280,Thor Klein
281,Scott Jeffrey
282,Jeff Wadlow
283,Will Gluck
284,Prano Bailey-Bond
285,Martin Zandvliet
286,Azazel Jacobs
287,Stephen Karam
288,Kornél Mundruczó
289,Stephen Daldry
290,Tim Hill
291,Il Cho
292,Janjot Singh
293,Elisa Amoruso
294,Mallory Everton
295,Taylor Chien
296,William Brent Bell
297,Philippe Falardeau
298,Paul Weitz
299,Nicholas Jarecki
300,Alejandro Lozano
301,Jaco Bouwer
302,Henry Joost
303,Mark Raso
304,Justin Kurzel
305,Chris Sanders
306,Elaine Bogan
307,Lee Thongkham
308,Walt Dohrn
309,Christopher MacBride
310,John Hyams
311,Sung-hee Jo
312,John Whitesell
313,Emma Seligman
314,Nancy Meyers
315,Robert Rodriguez
316,Michael Feifer
317,Tiller Russell
318,Chris Appelhans
319,Christian Long
320,Andy Goddard
321,Takayuki Hamana
322,Bruno Dumont
323,Vicente Amorim
324,Jacob Chase
325,Bryan Bertino
326,Mike Burns
327,Peter Berg
328,Richard Claus
329,George Clooney
330,Mike Cahill
331,Gavin O'Connor
332,Shane Dax Taylor
333,Jon Keeyes
334,Justine Bateman
335,Christopher Alender
336,Mark Polonia
337,Danila Kozlovskiy
338,Benny Chan
339,Camille Griffin
340,David Ayer
341,Rodrigo García
342,Bruno Garotti
343,Clea DuVall
344,Jason Axinn
345,Rajesh Bhatia
346,Miranda July
347,Eva Husson
348,Tony Cervone
349,Mona Fastvold
350,Jason Woliner
351,Ron Howard
352,Oz Perkins
353,Corinna Faith
354,Julien Knafo
355,Mark Tonderai
356,Vince Marcello
357,Kimmy Gatewood
358,Brett Haley
359,Jim Cummings
360,Dusty Mancinelli
361,Regina King
362,John Patrick Shanley
363,John Lee
364,Francis Annan
365,Edward Hall
366,Steven Kostanski
367,Jared Cohn
368,Natalie Erika James
369,David Koepp
370,Elle Callahan
371,Adam Mason
372,Jon Stewart
373,Sam Levinson
374,Mikey Alfred
375,Carlos V. Gutierrez
376,Uberto Pasolini
377,Josh Lawson
378,Sean Penn
379,Nick Stagliano
380,Brian Baugh
381,Paolo Sorrentino
382,Miguel Arteta
383,Michael Morrissey
384,Rachel Carey
385,Céline Sciamma
386,Martin Wilson
387,Robin Pront
388,Shawn Linden
389,Evan Morgan
390,Amy Poehler
391,Zu Quirke
392,Eliza Hittman
393,Nicolas Pesce
394,Keishi Ohtomo
395,Radu Muntean
396,Jagdeep Sidhu
397,April Mullen
398,Robin Wright
399,Claudia Llosa
400,Anna Elizabeth James
401,Tyler Spindel
402,John Suits
403,Christopher Ashley
404,Reed Morano
405,Ethan Spaulding
406,Julius Berg
407,Gaspar Noé
408,Yann Gozlan
409,Brannon Braga
410,Brian Duffield
411,Daniel Graham
412,Glendyn Ivin
413,Barry Levinson
414,Euros Lyn
415,Topher Chambers
416,Tomm Moore
417,Sean Durkin
418,Jonathan Milott
419,Egor Abramenko
420,Alister Grierson
421,Tyler Russell
422,Peeter Rebane
423,Mikael Håfström
424,Aneil Karia
425,Martin Owen
426,Mahiro Maeda
427,Dmitriy Dyachenko
428,Yang Lu
429,Billy Crystal
430,Brandon Christensen
431,Christian Schwochow
432,David Oyelowo
433,Greg Barker
434,Ryan Kruger
435,Michele Civetta
436,Austin Stark
437,Dave Franco
438,Fernando Trueba
439,Woody Allen
440,Gia Coppola
441,Ian Samuels
442,Bill Benz
443,Jeff Beesley
444,William Coakley
445,Mitja Okorn
446,Dimitri Logothetis
447,M.J. Bassett
448,Vadim Perelman
449,Jasmila Zbanic
450,Ruchi Narain
451,Ramin Bahrani
452,Tomer Eshed
453,Brad Turner
454,Andrew Erwin
455,Daniel Farrands
456,Eshom Nelms
457,Mark Greenstreet
458,Russ Parr
459,Arseny Syuhin
460,Justin Simien
461,David Charhon
462,Jack Clough
463,Seth Larney
464,Bradley Grant Smith
465,Mamoru Hosoda
466,Kitao Sakurai
467,Danis Goulet
468,John Michael McDonagh
469,Matt Thompson
470,Steven K. Tsuchida
471,George C. Wolfe
472,Joe Yung Spike
473,Michael Lembeck
474,Collin Schiffli
475,Viggo Mortensen
476,Liz Garbus
477,Luke Sparke
478,Ildikó Enyedi
479,Lee Yong-ju
480,Steven Grayhm
481,David Weaver
482,Yoon Sunghyun
483,Vinil Mathew
484,Lauren Fash
485,Phil Tippett
486,Scott B. Hansen
487,Tommy Wirkola
488,Lance Hool
489,Bartosz M. Kowalski
490,William Olsson
491,York Alec Shackleton
492,Justin Baldoni
493,Danis Tanovic
494,Marco Pontecorvo
495,Quoc Bao Tran
496,Brandon Trost
497,Péter Bergendy
498,Michael Lockshin
499,Todd Stephens
500,Sofia Coppola
501,Will Wernick
502,Mark Toia
503,Diego Savignano
504,Edson Oda
505,Gillies MacKinnon
506,Dee Rees
507,Josephine Decker
508,Chris Baugh
509,Liam O'Donnell
510,J.P. Watts
511,Nikole Beckwith
512,Marc Meyers
513,Jim Taihuttu
514,Bradley Parker
515,Chris Riedell
516,John C. Lyons
517,Luke Armstrong
518,Barnaby Thompson
519,Eugene Kotlyarenko
520,Damian Mc Carthy
521,Oleg Trofim
522,Robert Machoian
523,Spike Lee
524,Rachel Lee Goldenberg
525,Jimmy Giannopoulos
526,Satram Ramani
527,Alan Ball
528,Justin G. Dyck
529,Peter Bebjak
530,Joe DeBoer
531,Jude Weng
532,Hank Braxtan
533,Anthony Scott Burns
534,Peter Chelsom
535,David Charbonier
536,Lee Daniels
537,Dean Murphy
538,Andy Tennant
539,Julio Quintana
540,Glen Keane
541,Mitch Jenkins
542,Colin Broderick
543,Mikael Marcimain
544,Thor Freudenthal
545,Alexis Almström
546,Kim Tae-hyung
547,Yelena Popovic
548,Ryan Murphy
549,Michel Franco
550,James D'Arcy
551,Kaouther Ben Hania
552,Eddie Arya
553,Braden R. Duemmler
554,Ruth Platt
555,Johane Matte
556,Ángel Gómez Hernández
557,Philippa Lowthorpe
558,Peter Segal
559,Stanley Tong
560,Alexandre Bustillo
561,James DeMonaco
562,Anthony Chen
563,B.J. Rayniak
564,Emmanuel Osei-Kuffour
565,Aaron Pagniano
566,Kerem Sanga
567,Miguel Alexandre
568,Jeff Baena
569,Brian DeCubellis
570,Fernando León de Aranoa
571,BenDavid Grabinski
572,Mathieu Turi
573,Wyatt Rockefeller
574,Justin P. Lange
575,Kiyoshi Kurosawa
576,Eric Bress
577,Jacques Audiard
578,Travis Stevens
579,Park Hoon-jung
580,Juho Kuosmanen
581,Trent O'Donnell
582,Joey King
583,Justin Corsbie
584,Bartlett Sher
585,Giorgio Serafini
586,Ben Sharrock
587,Lawrence Michael Levine
588,Paul Hoen
589,Fedor Bondarchuk
590,Jonathan Jakubowicz
591,Megan Park
592,Sylvie Verheyde
593,Sia
594,Aleem Khan
595,Alan Ritchson
596,Richard Tanne
597,Phyllida Lloyd
598,Dean Craig
599,Philipp Stölzl
600,Ranjith Sankar
601,Daniel Monzón
602,Olivia Wilde
603,Janell Shirtcliff
604,Adrian Langley
605,Jamie Babbit
606,Abhishek Chaubey
607,Sam Miller
608,Danishka Esterhazy
609,George Nolfi
610,Douglas Attal
611,Lance Kawas
612,Cody Calahan
613,Paul Andrew Williams
614,Ricky Staub
615,Gabriele Mainetti
616,Alice Wu
617,Nat Faxon
618,Deviprasad Shetty
619,Stéphanie Chuat
620,Sean King O'Grady
621,François Ozon
622,Mike Rohl
623,Audrey Diwan
624,Marc Fehse
625,Scott Teems
626,Rachel Talalay
627,Paul Ziller
628,Jessica Swale
629,Ana Lily Amirpour
630,Jo Ba-Reun
631,Maya Forbes
632,Seung-wan Ryoo
633,Antoneta Alamat Kusijanovic
634,Nisha Ganatra
635,Elza Kephart
636,Asghar Farhadi
637,Maïmouna Doucouré
638,Dave Needham
639,Roger Michell
640,Trish Sie
641,Travis Cluff
642,Kôbun Shizuno
643,Steve Franks
644,Patrick Rea
645,Natalie Krinsky
646,Merlapaka Gandhi
647,Frederik Louis Hviid
648,Eskil Vogt
649,Christine Luby
650,Deepak Sundarrajan
651,Rob Jabbaz
652,Hicham Hajji
653,Michael Pearce
654,Kris Pearn
655,Pa. Ranjith
656,Lluís Quílez
657,Daniel Benmayor
658,Timothy Woodward Jr.
659,Chad Hartigan
660,Cecilia Verheyden
661,Felix Binder
662,Ryuichi Hiroki
663,Sandra L. Martin
664,Princeton Holt
665,Stephen Hopkins
