,MovieId,Name,Year,Genre,Meta_score,Director,Stars
0,7097896, 베놈 2: 렛 데어 비 카니지,2021,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",47,Andy Serkis,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris']"
1,8110232, The Many Saints of Newark,2021,"['Crime', 'Drama']",60,Alan Taylor,"['Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']"
2,0944760, Titane,2021,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",73,Julia Ducournau,"['Vincent Lindon', 'Agathe Rousselle', 'Garance Marillier', 'Lais Salameh']"
3,2731980, 올드 헨리,2021,['Western'],69,Potsy Ponciroli,"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis', 'Trace Adkins']"
4,2382320, 007 노 타임 투 다이,2021,"['Action', 'Adventure', 'Thriller']",68,Cary Joji Fukunaga,"['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Lea Seydoux']"
5,9098872, The Rescue,2021,"['Documentary', 'Drama']",0,Jimmy Chin,"['Jim Warny', 'Thanet Natisri', 'John Volanthen', 'Derek Anderson']"
6,1389748, Mass,2021,['Drama'],80,Fran Kranz,"['Jason Isaacs', 'Martha Plimpton', 'Ann Dowd', 'Reed Birney']"
7,0665338, 할로윈 킬즈,2021,"['Horror', 'Thriller']",42,David Gordon Green,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']"
8,6910282, 베르히만 아일랜드,2021,['Drama'],81,Mia Hansen-Løve,"['Vicky Krieps', 'Tim Roth', 'Grace Delrue', 'Mia Wasikowska']"
9,8709338, Hard Luck Love Song,2020,"['Drama', 'Music', 'Romance', 'Thriller']",65,Justin Corsbie,"['Michael Dorman', 'Sophia Bush', 'Dermot Mulroney', 'RZA']"
10,1160419, 듄,2021,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",75,Denis Villeneuve,"['Timothee Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']"
11,7504818, 고장난 론,2021,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",68,Sarah Smith,"['Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman']"
12,8956324, Warning,2021,"['Sci-Fi', 'Thriller']",0,Agata Alexander,"['Thomas Jane', 'Tomasz Kot', 'Toni Garrn', 'Rupert Everett']"
13,7740510, Antlers,2021,"['Drama', 'Horror', 'Mystery']",66,Scott Cooper,"['Keri Russell', 'Jesse Plemons', 'Jeremy T. Thomas', 'Graham Greene']"
14,6992978, 수베니어: 파트 II,2021,['Drama'],98,Joanna Hogg,"['Tilda Swinton', 'Honor Swinton Byrne', 'James Spencer Ashworth', 'Alice McMillan']"
15,1125620, 아담스 패밀리 2,2021,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",37,Greg Tiernan,"['Oscar Isaac', 'Charlize Theron', 'Chloe Grace Moretz', ""Javon 'Wanna' Walton""]"
16,1271800, Mayday,2021,"['Drama', 'Fantasy', 'Mystery']",45,Karen Cinorre,"['Grace Van Patten', 'Mia Goth', 'Soko', 'Havana Rose Liu']"
17,4857602, The Jesus Music,2021,['Documentary'],42,Andrew Erwin,"['Kirk Franklin', 'Amy Grant', 'Kevin Max', 'Toby McKeehan']"
18,9812474, Lamb,2021,"['Drama', 'Horror', 'Mystery']",69,Valdimar Johannsson,"['Noomi Rapace', 'Hilmir Snær Guðnason', 'Bjorn Hlynur Haraldsson', 'Ingvar Sigurdsson']"
19,1284502, South of Heaven,2021,"['Action', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",42,Aharon Keshales,"['Jason Sudeikis', 'Evangeline Lilly', 'Mike Colter', 'Shea Whigham']"
20,2861508, Survive the Game,2021,"['Action', 'Thriller']",0,James Cullen Bressack,"['Chad Michael Murray', 'Bruce Willis', 'Swen Temmel', 'Michael Sirow']"
21,4244994, 라스트 듀얼: 최후의 결투,2021,"['Action', 'Drama', 'History']",68,Ridley Scott,"['Matt Damon', 'Adam Driver', 'Jodie Comer', 'Harriet Walter']"
22,7099280, Needle in a Timestack,2021,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",42,John Ridley,"['Leslie Odom Jr.', 'Freida Pinto', 'Cynthia Erivo', 'Orlando Bloom']"
23,8241000, Extinct,2021,"['Animation', 'Adventure', 'Comedy', 'Family']",0,David Silverman,"['Adam Devine', 'Rachel Bloom', 'Ken Jeong', 'Zazie Beetz']"
24,8847712, 더 프렌치 디스패치,2021,"['Comedy', 'Drama', 'Romance']",83,Wes Anderson,"['Lea Seydoux', 'Timothee Chalamet', 'Christoph Waltz', 'Saoirse Ronan']"
25,1151336, Broadcast Signal Intrusion,2021,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,Jacob Gentry,"['Harry Shum Jr.', 'Kelley Mack', 'Chris Sullivan', 'Anthony E. Cabral']"
26,9639470, 라스트 나잇 인 소호,2021,"['Drama', 'Horror', 'Mystery', 'Thriller']",67,Edgar Wright,"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Diana Rigg', 'Amy Andrea']"
27,0925852, A Mouthful of Air,2021,['Drama'],0,Amy Koppelman,"['Amanda Seyfried', 'Britt Robertson', 'Jennifer Carpenter', 'Finn Wittrock']"
